claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_relative_delta_change,max_relative_delta_change,mean_distance_from_oracle,max_distance_from_oracle,minimum_output_rank,maximum_output_rank,output_rank_cap
primary_well_conditioned,positive_diagonal,1,full_delta_svd,20,1,1.1947438463698442e-15,1.1947438463698444e-15,3.736672636802708,3.736672636802708,4,4,4
primary_well_conditioned,positive_diagonal,1,global_synchronization,20,1,7.73229805748272e-15,2.1903904323641408e-14,4.654079829704346,4.654079829704399,4,4,4
primary_well_conditioned,positive_diagonal,1,naive_factor_average,20,1,1.9354135239549386,2.526609238749339,1.9354135239549386,2.526609238749339,4,4,4
primary_well_conditioned,positive_diagonal,1,oracle_alignment,20,1,6.201667848946401e-17,6.2016678489464e-17,0.0,0.0,4,4,4
primary_well_conditioned,positive_diagonal,1,pairwise_reference_alignment,20,1,1.6722471792418743e-15,2.8937826600112075e-15,2.165752338226137,2.165752338226138,4,4,4
primary_well_conditioned,positive_diagonal,2,canonical_svd_factor_average,20,1,7.973342839397191e-16,7.973342839397189e-16,1.0849657181070973,1.0849657181070975,4,4,4
primary_well_conditioned,positive_diagonal,2,cycle_aware_alignment,20,1,1.0738435370277219e-15,1.073843537027722e-15,2.8853023458328684,2.885302345832868,4,4,4
primary_well_conditioned,positive_diagonal,2,full_delta_svd,20,1,1.0738435370277219e-15,1.073843537027722e-15,2.8853023458328684,2.885302345832868,4,4,4
primary_well_conditioned,positive_diagonal,2,global_synchronization,20,1,8.213220533335057e-15,1.5658261713481422e-14,2.4634949232347916,2.4634949232347965,4,4,4
primary_well_conditioned,positive_diagonal,2,naive_factor_average,20,1,1.6370604481932065,2.251074679736218,1.6370604481932065,2.251074679736218,4,4,4
primary_well_conditioned,positive_diagonal,2,oracle_alignment,20,1,6.215546659055807e-17,6.215546659055809e-17,0.0,0.0,4,4,4
primary_well_conditioned,positive_diagonal,2,pairwise_reference_alignment,20,1,2.1008809942266143e-15,4.017986069596025e-15,1.8698239962422807,1.869823996242282,4,4,4
