claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,median_merge_seconds,p25_merge_seconds,p75_merge_seconds,minimum_merge_seconds,maximum_merge_seconds,maximum_dense_allocation_count,maximum_temporary_dense_bytes,stored_factor_bytes,output_rank_cap,failure_rate
primary_well_conditioned,orthogonal,1,global_synchronization,20,1,0.0025685000000521003,0.00252695806557305,0.00268722878536205,0.0024913330562412,0.0051751248538494,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,1,naive_factor_average,20,1,3.885442856699228e-05,3.4395838156342506e-05,4.20105061493814e-05,3.2207928597927094e-05,5.804095417261124e-05,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,1,oracle_alignment,20,1,0.00032770854886615,0.00031817692797622503,0.0003475937410257,0.0003063748590648,0.0005793338641524,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,1,pairwise_reference_alignment,20,1,0.00210343755315985,0.0020845624385400752,0.00216256250860165,0.0020510000176727,0.0031207089778035,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,2,canonical_svd_factor_average,20,1,0.0014581040013580998,0.00144030206138265,0.001548208645544925,0.0013999170623719,0.0016600838862359,8,262144,4096,4,0.0
primary_well_conditioned,orthogonal,2,cycle_aware_alignment,20,1,0.0029430420836433,0.0028827913920394747,0.0030174474231898,0.0028097920585423,0.0044364999048411,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,2,full_delta_svd,20,1,0.0003910000668838,0.00037231261376285,0.0004089060239493,0.0003607501275837,0.001731582917273,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,2,global_synchronization,20,1,0.0025946870446204497,0.002556489314883925,0.00269760412629685,0.0024865418672561,0.0041264588944613,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,2,naive_factor_average,20,1,3.81664140149951e-05,3.485399065539241e-05,4.052103031426668e-05,3.395904786884785e-05,4.591606557369232e-05,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,2,oracle_alignment,20,1,0.00033085455652320003,0.00031424977350974996,0.00035263568861405,0.0003117499873042,0.0010509171988815,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,2,pairwise_reference_alignment,20,1,0.0021726664854212997,0.0021213645231909746,0.0023207297199405,0.0020792500581592,0.002542374888435,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,3,canonical_svd_factor_average,20,1,0.0014526461018249393,0.0014158128760755062,0.0015373130445368588,0.0014011659659445286,0.002725082915276289,8,262144,4096,4,0.0
primary_well_conditioned,orthogonal,3,cycle_aware_alignment,20,1,0.002858145395293832,0.002831771271303296,0.003023030993063003,0.002786708064377308,0.004140166100114584,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,3,full_delta_svd,20,1,0.00036633352283388376,0.0003581349737942219,0.0004045835230499506,0.00034958403557538986,0.0008715831208974123,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,3,global_synchronization,20,1,0.002607917063869536,0.0025124892708845437,0.0027389167807996273,0.0024701659567654133,0.0031876671127974987,0,0,4096,4,0.0
