setting_id,phase,seed,threshold,coverage,covered_task_accuracy
FashionMNIST_confirmation_seed5,confirmation,5,0.967708170413971,0.1665000021457672,0.8498498201370239
FashionMNIST_confirmation_seed5,confirmation,5,0.978841245174408,0.125,0.8399999737739563
FashionMNIST_confirmation_seed5,confirmation,5,0.9868311285972595,0.08299999684095383,0.8192771077156067
FashionMNIST_confirmation_seed5,confirmation,5,0.9945248365402222,0.04050000011920929,0.8395061492919922
FashionMNIST_confirmation_seed5,confirmation,5,0.9999778270721436,0.0005000000237487257,1.0
FashionMNIST_confirmation_seed6,confirmation,6,0.25305604934692383,0.9545000195503235,0.6998428702354431
FashionMNIST_confirmation_seed6,confirmation,6,0.36500445008277893,0.8379999995231628,0.7356801629066467
FashionMNIST_confirmation_seed6,confirmation,6,0.4380386471748352,0.7929999828338623,0.7522068023681641
FashionMNIST_confirmation_seed6,confirmation,6,0.48970577120780945,0.7580000162124634,0.7572559118270874
FashionMNIST_confirmation_seed6,confirmation,6,0.5218631029129028,0.7074999809265137,0.7653710246086121
FashionMNIST_confirmation_seed6,confirmation,6,0.5636036992073059,0.6489999890327454,0.7719568610191345
FashionMNIST_confirmation_seed6,confirmation,6,0.5944429636001587,0.6079999804496765,0.7804276347160339
FashionMNIST_confirmation_seed6,confirmation,6,0.6240818500518799,0.5730000138282776,0.7905759215354919
FashionMNIST_confirmation_seed6,confirmation,6,0.6773824691772461,0.5059999823570251,0.801383376121521
FashionMNIST_confirmation_seed6,confirmation,6,0.7248258590698242,0.46149998903274536,0.8082340359687805
FashionMNIST_confirmation_seed6,confirmation,6,0.7697536945343018,0.41449999809265137,0.8178528547286987
FashionMNIST_confirmation_seed6,confirmation,6,0.8091719150543213,0.3725000023841858,0.826845645904541
FashionMNIST_confirmation_seed6,confirmation,6,0.8576554656028748,0.320499986410141,0.8361934423446655
FashionMNIST_confirmation_seed6,confirmation,6,0.8999550938606262,0.26899999380111694,0.8364312052726746
FashionMNIST_confirmation_seed6,confirmation,6,0.9189015626907349,0.23649999499320984,0.8393234610557556
FashionMNIST_confirmation_seed6,confirmation,6,0.9392281770706177,0.1875,0.8613333106040955
FashionMNIST_confirmation_seed6,confirmation,6,0.9549903869628906,0.1525000035762787,0.8655737638473511
FashionMNIST_confirmation_seed6,confirmation,6,0.9710068106651306,0.10649999976158142,0.8873239159584045
FashionMNIST_confirmation_seed6,confirmation,6,0.9838018417358398,0.06750000268220901,0.9259259104728699
FashionMNIST_confirmation_seed6,confirmation,6,0.9902567863464355,0.03350000083446503,0.9104477763175964
FashionMNIST_confirmation_seed6,confirmation,6,0.9994825124740601,0.0005000000237487257,1.0
FashionMNIST_confirmation_seed7,confirmation,7,0.2547746002674103,0.9459999799728394,0.6897463202476501
