family,scramble_index,scramble_seed,i,j,k,normalized_frobenius_defect,spectral_defect,holonomy_condition_number
positive_diagonal,4,20460723,1,2,3,2.103306543549409e-15,1.1102230246251565e-15,1.000000000000001
positive_diagonal,5,20460724,0,1,2,1.4446166984659036e-15,1.887379141862766e-15,1.0000000000000013
positive_diagonal,5,20460724,0,1,3,1.4179401533254925e-15,2.1094237467877974e-15,1.000000000000002
positive_diagonal,5,20460724,0,2,3,1.1300007481295211e-15,1.4432899320127035e-15,1.0000000000000016
positive_diagonal,5,20460724,1,2,3,1.4889676287876873e-15,1.3685848033549968e-15,1.0000000000000024
positive_diagonal,6,20460725,0,1,2,1.352885329397872e-15,1.6653345369377348e-15,1.0000000000000018
positive_diagonal,6,20460725,0,1,3,1.352885329397872e-15,1.6653345369377348e-15,1.0000000000000018
positive_diagonal,6,20460725,0,2,3,1.352885329397872e-15,1.6653345369377348e-15,1.0000000000000018
positive_diagonal,6,20460725,1,2,3,2.4342621183036136e-15,9.917865006381845e-16,1.0000000000000009
positive_diagonal,7,20460726,0,1,2,1.4142752990118038e-15,1.1102230246251565e-15,1.0000000000000016
positive_diagonal,7,20460726,0,1,3,2.853538746964947e-15,1.6653345369377348e-15,1.0000000000000033
positive_diagonal,7,20460726,0,2,3,3.8694505074106474e-15,2.7755575615628914e-15,1.0000000000000013
positive_diagonal,7,20460726,1,2,3,3.8694505074106474e-15,2.7755575615628914e-15,1.0000000000000013
positive_diagonal,8,20460727,0,1,2,9.156905375402735e-16,6.661338147750939e-16,1.000000000000001
positive_diagonal,8,20460727,0,1,3,7.852261035009144e-16,9.992007221626409e-16,1.0000000000000009
positive_diagonal,8,20460727,0,2,3,7.852261035009144e-16,9.992007221626409e-16,1.0000000000000009
positive_diagonal,8,20460727,1,2,3,1.4142752990118038e-15,1.1102230246251565e-15,1.0000000000000016
positive_diagonal,9,20460728,0,1,2,2.4895962757108855e-15,1.7763568394002505e-15,1.000000000000002
positive_diagonal,9,20460728,0,1,3,1.8515116021124367e-15,1.4432899320127035e-15,1.0000000000000016
positive_diagonal,9,20460728,0,2,3,1.8515116021124367e-15,1.4432899320127035e-15,1.0000000000000016
positive_diagonal,9,20460728,1,2,3,1.2387013988918845e-15,1.887379141862766e-15,1.0000000000000018
positive_diagonal,10,20460729,0,1,2,2.4116452750304213e-15,1.5543122344752192e-15,1.0000000000000013
positive_diagonal,10,20460729,0,1,3,2.4116452750304213e-15,1.5543122344752192e-15,1.0000000000000013
positive_diagonal,10,20460729,0,2,3,2.4895962757108855e-15,1.7763568394002505e-15,1.000000000000002
positive_diagonal,10,20460729,1,2,3,2.4895962757108855e-15,1.7763568394002505e-15,1.000000000000002
positive_diagonal,11,20460730,0,1,2,1.1876452114418576e-15,1.9984014443252818e-15,1.0000000000000029
positive_diagonal,11,20460730,0,1,3,1.6880759633788139e-15,2.220446049250313e-15,1.0000000000000024
positive_diagonal,11,20460730,0,2,3,1.405721123929313e-15,8.541843807359916e-16,1.0000000000000016
positive_diagonal,11,20460730,1,2,3,1.405721123929313e-15,8.541843807359916e-16,1.0000000000000016
positive_diagonal,12,20460731,0,1,2,1.2082238844010195e-15,1.9984014443252818e-15,1.0000000000000029
positive_diagonal,12,20460731,0,1,3,9.481885531716707e-16,9.992007221626409e-16,1.0000000000000018
