architecture,dataset,collection,domain,method,accuracy,loss,ece,worst_task_accuracy,forgetting,trainable_parameters,stored_parameters,branch_count,latency_seconds,peak_memory_mb,selector_validation_samples,candidate_count,lift_activated,selected_ordinary_method,leakage_hash_passed,logits_sha256
resnet18,CIFAR10,1,clean,adaptive_router,0.746,1.6019799811914572,0.5240975747085079,0.7248603351955307,0.05940630256695545,44,20480,4,9.082956239581108e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,ensemble_reference,0.76,1.7502166296797403,0.5763260135187804,0.7462121212121212,0.04445280592357523,0,20480,4,1.0499963536858559e-05,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,uniform_model_soup,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,8.95909033715725e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,greedy_model_soup,0.349,2.940137538717579,0.09995018505000781,0.2630057803468208,0.11810905010318902,0,5120,1,9.165843948721886e-06,342.046875,600,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,git_rebasin_shared_feature_identity,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,8.832896128296852e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,c2m3_shared_feature_identity,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,8.708098903298378e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,task_arithmetic,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,9.00006853044033e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,ties,0.398,1.9083770477515094,0.20348846804295653,0.34104046242774566,0.06738014652613257,0,5120,1,8.916947990655899e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,dare,0.256,2.0391935186263543,0.06420639136642418,0.22474747474747475,0.20744558193750073,0,5120,1,9.083887562155724e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,regmean,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,9.00006853044033e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,cca_shared_feature_alignment,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,9.124865755438805e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,low_rank_task_subspace,0.323,1.9867114018877536,0.14388604548233663,0.21820809248554912,0.1450334241028165,0,5120,1,9.041978046298027e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,twistedmerge_hodge_lr,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,8.875038474798203e-06,342.046875,600,6,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,adaptive_router,0.38,1.9361656391656934,0.19087134320874327,0.2817919075144509,0.08670225929655322,44,20480,4,9.457813575863838e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,ensemble_reference,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,20480,4,8.916947990655899e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,2,clean,uniform_model_soup,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,8.790986612439156e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,greedy_model_soup,0.627,3.5167669754329336,0.3714014841504109,0.5487627365356623,0.18141118010830173,0,5120,1,9.624985978007317e-06,342.046875,600,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,git_rebasin_shared_feature_identity,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,9.209150448441505e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,c2m3_shared_feature_identity,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,9.124865755438805e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,task_arithmetic,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,9.167008101940155e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,ties,0.76,1.601737005188486,0.5420970630308937,0.7475124378109452,0.04409691819320205,0,5120,1,9.95793379843235e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,dare,0.2,2.1468594090578397,0.16783055082293313,0.13100436681222707,0.6052752284894081,0,5120,1,9.16607677936554e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,regmean,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,9.083887562155724e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,cca_shared_feature_alignment,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,8.832896128296852e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,low_rank_task_subspace,0.569,1.7686096622126544,0.37640551553898494,0.4410480349344978,0.24242398349298938,0,5120,1,9.250128641724586e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,twistedmerge_hodge_lr,0.76,1.7502166296797406,0.5763260135187805,0.7475124378109452,0.04409691819320205,0,5120,1,8.95792618393898e-06,342.046875,600,6,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,adaptive_router,0.734,1.6200582279854117,0.5157641200907934,0.7052238805970149,0.06991409710177615,44,20480,4,8.95909033715725e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,clean,ensemble_reference,0.76,1.7502166296797403,0.5763260135187804,0.7475124378109452,0.04409691819320205,0,20480,4,8.666887879371643e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,uniform_model_soup,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,8.624978363513947e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,greedy_model_soup,0.354,2.9695516544953153,0.11569318522419697,0.29694323144104806,0.1063554927760205,0,5120,1,8.667120710015297e-06,342.046875,600,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,git_rebasin_shared_feature_identity,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,8.582836017012596e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,c2m3_shared_feature_identity,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,8.750008419156075e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,task_arithmetic,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,8.624978363513947e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
