architecture,dataset,domain,method,accuracy,worst_task_accuracy,forgetting,ece,latency_seconds,peak_memory_mb,lift_frequency
resnet18,CIFAR100,clean,uniform_model_soup,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.487499922513962e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,adaptive_router,0.189,0.15605356355522776,0.03712018873896269,0.16122848537495887,6.229081191122532e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,c2m3_shared_feature_identity,0.198,0.17045248014936049,0.028072415939466532,0.1715077515164326,6.408314220607281e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,cca_shared_feature_alignment,0.198,0.17045248014936049,0.028072415939466532,0.1715077515164326,6.454112008213997e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,dare,0.1416,0.11690993279841536,0.08441393374981762,0.10917710844204968,6.254203617572784e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,ensemble_reference,0.198,0.17045248014936049,0.028072415939466532,0.1715077515164326,6.166589446365833e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,git_rebasin_shared_feature_identity,0.198,0.17045248014936049,0.028072415939466532,0.1715077515164326,6.429199129343033e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,greedy_model_soup,0.1754,0.13195777018765417,0.050867060732335254,0.12967675202585338,6.233295425772667e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,low_rank_task_subspace,0.198,0.17045248014936049,0.028072415939466532,0.1715077515226258,6.208289414644241e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,regmean,0.198,0.17045248014936049,0.028072415939466532,0.1715077515164326,6.195809692144394e-05,358.03125,0.0
resnet18,CIFAR100,gaussian_shift,task_arithmetic,0.198,0.17045248014936049,0.028072415939466532,0.1715077515164326,6.304215639829636e-05,358.03125,0.0
