setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,generic_low_rank_context_adapter,0.185,2.6737319627600704,0.3429058104424218,462,462,1,0.02312520518898964,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,group_structured_without_hodge,0.16583333333333333,2.1670539765603642,0.2513859282851571,0,0,1,0.042584026232361794,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,hodge_lr_generic_retransport,0.1775,2.135202021177038,0.21722680496421337,66,66,6,0.02687494270503521,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,random_multiplication_table_control,0.0,2.4240366333863106,0.41721926161849043,0,0,1,0.026208115741610527,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,shuffled_context_control,0.165,2.1949290389873695,0.2522192616184904,0,0,1,0.02354220487177372,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,twistedmerge_hodge_lr,0.8383333333333334,1.144282832838896,0.41345242509728114,30,30,1,0.022833002731204033,125.3125,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,generic_mixture_of_experts,0.7,1.6168776494091848,0.49029164493263266,42,42,6,0.021707965061068535,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,learned_unconstrained_matrix_context_action,0.345,1.5949776559739512,0.03099356274540141,222,222,1,0.02200016751885414,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,generic_low_rank_context_adapter,0.2,2.1404931836808614,0.23444176083471385,462,462,1,0.021999934688210487,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,group_structured_without_hodge,0.8383333333333334,1.144282832838896,0.4134524250972812,0,0,1,0.022165942937135696,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,hodge_lr_generic_retransport,0.4508333333333333,1.4481849876686461,0.11005245836647022,66,66,6,0.02150004729628563,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,random_multiplication_table_control,0.21166666666666667,2.1109848394181667,0.21671724713319035,0,0,1,0.02233288250863552,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b16,S3,64,21,0.2,16,standard,shuffled_context_control,0.16083333333333333,2.237831056794403,0.26755058046652364,0,0,1,0.0213750172406435,125.34375,True,e02da295334b57c37a67d0779505542bb285ceb0d8a2517e08133d491b619275
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,twistedmerge_hodge_lr,0.8383333333333334,1.1445244023580217,0.4101190917639479,30,30,1,0.023250002413988113,125.375,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,generic_mixture_of_experts,0.8133333333333334,1.6204514067801274,0.6055726788221206,42,42,6,0.023290980607271194,125.375,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,learned_unconstrained_matrix_context_action,0.5958333333333333,1.320769117501564,0.18028093324581662,222,222,1,0.022209016606211662,125.375,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,generic_low_rank_context_adapter,0.1825,3.0396569264346667,0.3812081620143427,462,462,1,0.021333107724785805,125.390625,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,group_structured_without_hodge,0.8383333333333334,1.1445244023580217,0.4101190917639478,0,0,1,0.023458153009414673,125.390625,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,hodge_lr_generic_retransport,0.34,1.747389132066661,0.09404847409423706,66,66,6,0.020707957446575165,125.390625,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,random_multiplication_table_control,0.6525,1.4350384997678671,0.22970396876746105,0,0,1,0.022833002731204033,125.390625,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.2_b64,S3,64,21,0.2,64,standard,shuffled_context_control,0.16333333333333333,2.224961158111605,0.2650505804665237,0,0,1,0.023584114387631416,125.390625,True,ad4c5acd627255e36f21da1574af5c59e68a58f83977934ca4e848232beb62c7
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,twistedmerge_hodge_lr,0.5866666666666667,1.5294632406311328,0.17387063543412778,30,30,1,0.023999949917197227,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,generic_mixture_of_experts,0.41583333333333333,1.734672115325994,0.21571922743395186,42,42,6,0.022999942302703857,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,learned_unconstrained_matrix_context_action,0.18166666666666667,2.046934917885853,0.17448570409659014,222,222,1,0.020083971321582794,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,generic_low_rank_context_adapter,0.2025,2.140141549751263,0.23142886235836266,462,462,1,0.02337503246963024,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,group_structured_without_hodge,0.5866666666666667,1.5294632406311328,0.1738706354341277,0,0,1,0.02374988980591297,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,hodge_lr_generic_retransport,0.3541666666666667,1.6436487331642318,0.03426711255257654,66,66,6,0.022082822397351265,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,random_multiplication_table_control,0.5691666666666667,1.5818213934879748,0.18392151885609062,0,0,1,0.022791093215346336,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
S3_w64_s21_n0.5_b16,S3,64,21,0.5,16,standard,shuffled_context_control,0.1875,2.1937319179895316,0.240883913799857,0,0,1,0.023625092580914497,125.40625,True,af59a4662a1d982954c9f17563a423e6863045525b5b468a32935b407a41444b
