family,setting_id,seed,method,accuracy,loss,ece,residual_before,residual_after,residual_reduction,selected_rank,false_positive_lift_activation,trainable_parameters,stored_parameters,latency_ms,peak_memory_mb,context_samples,leakage_hash_passed,logits_sha256,cocycle_family,width,control_seed
controlled_mu2,mu2_w32_s4,4,canonicalize_pool_retransport,1.0,0.33681588361630693,0.273275937908026,1.0550894323402387,0.0,1.0550894323402387,1,False,2,2,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,distilled_chart_aware_predictor,0.5366666666666666,0.7049307778128069,0.04603622219203958,1.0550894323402387,0.7457810738645781,0.3093083584756605,1,False,70,70,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s5,5,strict_synchronization,0.52,0.8961470636388806,0.2195149661130758,1.0559575271674975,1.0559575271674975,0.0,0,False,0,0,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,synchronization_cycle_norm_only,0.52,0.8961470636388806,0.2195149661130758,1.0559575271674975,1.0559575271674975,0.0,0,False,0,0,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,weighted_hodge,0.7508333333333334,0.4947112911830671,0.12347263366105,1.0559575271674975,0.5279787635837486,0.5279787635837488,0,False,0,0,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,hodge_full_rank_correction,1.0,0.31888293141191854,0.26048503388692423,1.0559575271674975,0.0,1.0559575271674975,2,False,4,4,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,hodge_low_rank_correction,1.0,0.31888293141191854,0.26048503388692423,1.0559575271674975,1.63879314447659e-16,1.0559575271674972,1,False,2,2,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,low_rank_generic_router,0.5025,0.6998529843242707,0.04995597834862324,1.0559575271674975,1.1263687611314972,-0.07041123396399973,1,False,70,70,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,low_rank_structured_router,1.0,0.31888293141191854,0.26048503388692423,1.0559575271674975,0.0,1.0559575271674975,1,False,2,2,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,canonicalize_pool_retransport,1.0,0.31888293141191854,0.26048503388692423,1.0559575271674975,0.0,1.0559575271674975,1,False,2,2,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s5,5,distilled_chart_aware_predictor,0.5058333333333334,0.7154802438021172,0.08463320793032941,1.0559575271674975,0.8034094706385155,0.25254805652898193,1,False,70,70,0.01,257.171875,512,True,8945342f835399c5cdfbebfa941cf899b9ab1172d9ccb6eccffb474efff3cfc5,noncentral_control,32,5
controlled_mu2,mu2_w32_s6,6,strict_synchronization,0.51,0.8158774076431269,0.1799578420060058,0.7640554103111946,0.7640554103111946,0.0,0,False,0,0,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,synchronization_cycle_norm_only,0.51,0.8158774076431269,0.1799578420060058,0.7640554103111946,0.7640554103111946,0.0,0,False,0,0,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,weighted_hodge,0.7516666666666667,0.5356680052615128,0.15431961164024813,0.7640554103111946,0.3820277051555973,0.3820277051555973,0,False,0,0,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,hodge_full_rank_correction,1.0,0.38581270431699954,0.31004215799399426,0.7640554103111946,0.0,0.7640554103111946,2,False,4,4,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,hodge_low_rank_correction,1.0,0.3858127043169996,0.3100421579939943,0.7640554103111946,1.6980954632456838e-16,0.7640554103111944,1,False,2,2,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
