group,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
D4,1.0,64,hodge_lr_generic_retransport,0.12933333333333336,2.448928037882036,0.21460367939659125,120.0,0.00954093411564827
D4,1.0,64,learned_unconstrained_matrix_context_action,0.12666666666666665,2.7945909807293634,0.30074804425514307,520.0,0.008667120710015297
D4,1.0,64,random_multiplication_table_control,0.08483333333333334,2.5822986526501914,0.2786667926245673,0.0,0.008792150765657425
D4,1.0,64,shuffled_context_control,0.12033333333333333,2.515042291872229,0.2431443056162539,0.0,0.0085409265011549
D4,1.0,64,twistedmerge_hodge_lr,0.128,2.4913763653895855,0.23482159115711115,56.0,0.010041054338216782
S3,0.2,16,generic_low_rank_context_adapter,0.19083333333333335,2.1216469794232062,0.22752785472404047,462.0,0.022229505702853203
S3,0.2,16,generic_mixture_of_experts,0.6283333333333333,1.6624030801845209,0.4247990053449094,42.0,0.02216699067503214
S3,0.2,16,group_structured_without_hodge,0.8330833333333333,1.1731038005740304,0.4225961770753569,0.0,0.02243742346763611
S3,0.2,16,hodge_lr_generic_retransport,0.4439166666666667,1.4712051739145757,0.1164204716805971,66.0,0.02218747977167368
S3,0.2,16,learned_unconstrained_matrix_context_action,0.32541666666666663,1.665990436489,0.06349734639003732,222.0,0.021000043489038944
S3,0.2,16,random_multiplication_table_control,0.23233333333333334,2.0904940592844623,0.22756551277783282,0.0,0.022791908122599125
S3,0.2,16,shuffled_context_control,0.1735,2.143652592165141,0.23912249984322814,0.0,0.02283346839249134
S3,0.2,16,twistedmerge_hodge_lr,0.8330833333333333,1.1731038005740304,0.4225961770753569,30.0,0.022875028662383556
S3,0.2,64,generic_low_rank_context_adapter,0.1795,2.76239063041031,0.37474391769638143,462.0,0.02170854713767767
S3,0.2,64,generic_mixture_of_experts,0.7625,1.6502384704143302,0.5615537022068311,42.0,0.022707856260240078
S3,0.2,64,group_structured_without_hodge,0.8329166666666667,1.1753146041865645,0.42100200052502573,0.0,0.02245791256427765
S3,0.2,64,hodge_lr_generic_retransport,0.3443333333333333,1.670851177412856,0.07587847316583043,66.0,0.02170854713767767
S3,0.2,64,learned_unconstrained_matrix_context_action,0.49366666666666664,1.4980680569560483,0.1244378217725249,222.0,0.02260447945445776
S3,0.2,64,random_multiplication_table_control,0.14908333333333332,2.1858279451016367,0.3093400551918405,0.0,0.022979569621384144
S3,0.2,64,shuffled_context_control,0.17441666666666666,2.1588884930920478,0.23819128168784914,0.0,0.022562569938600063
S3,0.2,64,twistedmerge_hodge_lr,0.8329166666666667,1.1753146041865645,0.42100200052502573,30.0,0.023292028345167637
S3,0.5,16,generic_low_rank_context_adapter,0.19075,2.121358346212605,0.22780509006135227,462.0,0.022812513634562492
S3,0.5,16,generic_mixture_of_experts,0.34933333333333333,1.7496019454457623,0.15564060796727855,42.0,0.022687483578920364
S3,0.5,16,group_structured_without_hodge,0.5935833333333334,1.5368823772448656,0.20410031007531973,0.0,0.02247956581413746
S3,0.5,16,hodge_lr_generic_retransport,0.34408333333333335,1.6498585933672438,0.030746376211751414,66.0,0.022166408598423004
S3,0.5,16,learned_unconstrained_matrix_context_action,0.2089166666666667,1.9161982493008882,0.12186052327458045,222.0,0.021270476281642914
