dimension_m,dimension_n,rank,adapter_count,precision,method,peak_rss_bytes,baseline_rss_bytes,incremental_peak_rss_bytes,accelerator_peak_bytes,temporary_allocation_bytes_analytical,dense_effective_update_allocations,dense_effective_update_bytes,stored_result_bytes,bytes_read,bytes_written
1024,1024,16,4,float32,naive_factor_average,267042816,266108928,933888,not_available_cpu_benchmark,262144,0,0,131072,0,0
1024,1024,16,4,float32,pairwise_reference_alignment,276119552,274186240,1933312,not_available_cpu_benchmark,540672,0,0,131072,0,0
1024,1024,16,8,float32,canonical_factor_space,265142272,263274496,1867776,not_available_cpu_benchmark,1097728,0,0,131072,0,0
1024,1024,16,8,float32,cycle_aware_alignment,286277632,281624576,4653056,not_available_cpu_benchmark,1114112,0,0,131072,0,0
1024,1024,16,8,float32,dense_deterministic_truncated_svd,293388288,287866880,5521408,not_available_cpu_benchmark,4587520,1,4194304,131072,0,0
1024,1024,16,8,float32,dense_randomized_svd,263208960,257179648,6029312,not_available_cpu_benchmark,4587520,1,4194304,131072,0,0
1024,1024,16,8,float32,global_synchronization,267599872,261881856,5718016,not_available_cpu_benchmark,1114112,0,0,131072,0,0
1024,1024,16,8,float32,naive_factor_average,274120704,258342912,15777792,not_available_cpu_benchmark,262144,0,0,131072,0,0
1024,1024,16,8,float32,pairwise_reference_alignment,269746176,266485760,3260416,not_available_cpu_benchmark,1114112,0,0,131072,0,0
1024,1024,16,16,float32,canonical_factor_space,265928704,262291456,3637248,not_available_cpu_benchmark,2195456,0,0,131072,0,0
1024,1024,16,16,float32,cycle_aware_alignment,299958272,268582912,31375360,not_available_cpu_benchmark,2359296,0,0,131072,0,0
1024,1024,16,16,float32,dense_deterministic_truncated_svd,274104320,267010048,7094272,not_available_cpu_benchmark,4587520,1,4194304,131072,0,0
1024,1024,16,16,float32,dense_randomized_svd,274153472,267943936,6209536,not_available_cpu_benchmark,4587520,1,4194304,131072,0,0
1024,1024,16,16,float32,global_synchronization,296271872,264667136,31604736,not_available_cpu_benchmark,2359296,0,0,131072,0,0
1024,1024,16,16,float32,naive_factor_average,265879552,264634368,1245184,not_available_cpu_benchmark,262144,0,0,131072,0,0
1024,1024,16,16,float32,pairwise_reference_alignment,294223872,288800768,5423104,not_available_cpu_benchmark,2359296,0,0,131072,0,0
1024,1024,32,4,float32,canonical_factor_space,270581760,267632640,2949120,not_available_cpu_benchmark,1146880,0,0,262144,0,0
1024,1024,32,4,float32,cycle_aware_alignment,268353536,263782400,4571136,not_available_cpu_benchmark,1114112,0,0,262144,0,0
1024,1024,32,4,float32,dense_deterministic_truncated_svd,284803072,277872640,6930432,not_available_cpu_benchmark,4849664,1,4194304,262144,0,0
1024,1024,32,4,float32,dense_randomized_svd,291602432,284786688,6815744,not_available_cpu_benchmark,4849664,1,4194304,262144,0,0
1024,1024,32,4,float32,global_synchronization,266452992,232325120,34127872,not_available_cpu_benchmark,1114112,0,0,262144,0,0
1024,1024,32,4,float32,naive_factor_average,289193984,288194560,999424,not_available_cpu_benchmark,524288,0,0,262144,0,0
1024,1024,32,4,float32,pairwise_reference_alignment,291078144,288096256,2981888,not_available_cpu_benchmark,1114112,0,0,262144,0,0
1024,1024,32,8,float32,canonical_factor_space,294158336,289275904,4882432,not_available_cpu_benchmark,2293760,0,0,262144,0,0
1024,1024,32,8,float32,cycle_aware_alignment,278396928,251658240,26738688,not_available_cpu_benchmark,2359296,0,0,262144,0,0
1024,1024,32,8,float32,dense_deterministic_truncated_svd,273350656,264667136,8683520,not_available_cpu_benchmark,4849664,1,4194304,262144,0,0
1024,1024,32,8,float32,dense_randomized_svd,297713664,289325056,8388608,not_available_cpu_benchmark,4849664,1,4194304,262144,0,0
1024,1024,32,8,float32,global_synchronization,279674880,265240576,14434304,not_available_cpu_benchmark,2359296,0,0,262144,0,0
1024,1024,32,8,float32,naive_factor_average,265699328,264454144,1245184,not_available_cpu_benchmark,524288,0,0,262144,0,0
1024,1024,32,8,float32,pairwise_reference_alignment,268697600,263569408,5128192,not_available_cpu_benchmark,2359296,0,0,262144,0,0
1024,1024,32,16,float32,canonical_factor_space,298696704,291373056,7323648,not_available_cpu_benchmark,4587520,0,0,262144,0,0
1024,1024,32,16,float32,cycle_aware_alignment,395378688,291504128,103874560,not_available_cpu_benchmark,5242880,0,0,262144,0,0
1024,1024,32,16,float32,dense_deterministic_truncated_svd,303087616,291373056,11714560,not_available_cpu_benchmark,4849664,1,4194304,262144,0,0
1024,1024,32,16,float32,dense_randomized_svd,303038464,291340288,11698176,not_available_cpu_benchmark,4849664,1,4194304,262144,0,0
1024,1024,32,16,float32,global_synchronization,378650624,291504128,87146496,not_available_cpu_benchmark,5242880,0,0,262144,0,0
1024,1024,32,16,float32,naive_factor_average,285638656,281460736,4177920,not_available_cpu_benchmark,524288,0,0,262144,0,0
1024,1024,32,16,float32,pairwise_reference_alignment,291733504,287342592,4390912,not_available_cpu_benchmark,5242880,0,0,262144,0,0
2048,2048,4,4,float32,canonical_factor_space,288145408,287113216,1032192,not_available_cpu_benchmark,263680,0,0,65536,0,0
2048,2048,4,4,float32,cycle_aware_alignment,279478272,278282240,1196032,not_available_cpu_benchmark,263168,0,0,65536,0,0
2048,2048,4,4,float32,dense_deterministic_truncated_svd,276725760,259653632,17072128,not_available_cpu_benchmark,17170432,1,16777216,65536,0,0
2048,2048,4,4,float32,dense_randomized_svd,281886720,263077888,18808832,not_available_cpu_benchmark,17170432,1,16777216,65536,0,0
2048,2048,4,4,float32,global_synchronization,268140544,266780672,1359872,not_available_cpu_benchmark,263168,0,0,65536,0,0
2048,2048,4,4,float32,naive_factor_average,287883264,286851072,1032192,not_available_cpu_benchmark,131072,0,0,65536,0,0
2048,2048,4,4,float32,pairwise_reference_alignment,249233408,247431168,1802240,not_available_cpu_benchmark,263168,0,0,65536,0,0
2048,2048,4,8,float32,canonical_factor_space,268140544,265650176,2490368,not_available_cpu_benchmark,527360,0,0,65536,0,0
2048,2048,4,8,float32,cycle_aware_alignment,272547840,165543936,107003904,not_available_cpu_benchmark,528384,0,0,65536,0,0
2048,2048,4,8,float32,dense_deterministic_truncated_svd,285655040,266813440,18841600,not_available_cpu_benchmark,17170432,1,16777216,65536,0,0
2048,2048,4,8,float32,dense_randomized_svd,297762816,278773760,18989056,not_available_cpu_benchmark,17170432,1,16777216,65536,0,0
2048,2048,4,8,float32,global_synchronization,266158080,263897088,2260992,not_available_cpu_benchmark,528384,0,0,65536,0,0
2048,2048,4,8,float32,naive_factor_average,275267584,271007744,4259840,not_available_cpu_benchmark,131072,0,0,65536,0,0
2048,2048,4,8,float32,pairwise_reference_alignment,289390592,287227904,2162688,not_available_cpu_benchmark,528384,0,0,65536,0,0
2048,2048,4,16,float32,canonical_factor_space,269516800,267567104,1949696,not_available_cpu_benchmark,1054720,0,0,65536,0,0
2048,2048,4,16,float32,cycle_aware_alignment,269516800,264601600,4915200,not_available_cpu_benchmark,1064960,0,0,65536,0,0
2048,2048,4,16,float32,dense_deterministic_truncated_svd,263028736,206897152,56131584,not_available_cpu_benchmark,17170432,1,16777216,65536,0,0
2048,2048,4,16,float32,dense_randomized_svd,296779776,277397504,19382272,not_available_cpu_benchmark,17170432,1,16777216,65536,0,0
2048,2048,4,16,float32,global_synchronization,269254656,264519680,4734976,not_available_cpu_benchmark,1064960,0,0,65536,0,0
2048,2048,4,16,float32,naive_factor_average,268075008,267042816,1032192,not_available_cpu_benchmark,131072,0,0,65536,0,0
2048,2048,4,16,float32,pairwise_reference_alignment,287916032,284655616,3260416,not_available_cpu_benchmark,1064960,0,0,65536,0,0
2048,2048,8,4,float32,canonical_factor_space,278888448,277856256,1032192,not_available_cpu_benchmark,530432,0,0,131072,0,0
2048,2048,8,4,float32,cycle_aware_alignment,276447232,274366464,2080768,not_available_cpu_benchmark,528384,0,0,131072,0,0
2048,2048,8,4,float32,dense_deterministic_truncated_svd,297107456,277413888,19693568,not_available_cpu_benchmark,17301504,1,16777216,131072,0,0
2048,2048,8,4,float32,dense_randomized_svd,285163520,264241152,20922368,not_available_cpu_benchmark,17301504,1,16777216,131072,0,0
2048,2048,8,4,float32,global_synchronization,287064064,285147136,1916928,not_available_cpu_benchmark,528384,0,0,131072,0,0
2048,2048,8,4,float32,naive_factor_average,272613376,271581184,1032192,not_available_cpu_benchmark,262144,0,0,131072,0,0
2048,2048,8,4,float32,pairwise_reference_alignment,267567104,266338304,1228800,not_available_cpu_benchmark,528384,0,0,131072,0,0
2048,2048,8,8,float32,canonical_factor_space,269303808,267419648,1884160,not_available_cpu_benchmark,1060864,0,0,131072,0,0
2048,2048,8,8,float32,cycle_aware_alignment,291241984,287555584,3686400,not_available_cpu_benchmark,1064960,0,0,131072,0,0
2048,2048,8,8,float32,dense_deterministic_truncated_svd,286162944,268288000,17874944,not_available_cpu_benchmark,17301504,1,16777216,131072,0,0
2048,2048,8,8,float32,dense_randomized_svd,306937856,287621120,19316736,not_available_cpu_benchmark,17301504,1,16777216,131072,0,0
2048,2048,8,8,float32,global_synchronization,271646720,267698176,3948544,not_available_cpu_benchmark,1064960,0,0,131072,0,0
2048,2048,8,8,float32,naive_factor_average,289013760,287981568,1032192,not_available_cpu_benchmark,262144,0,0,131072,0,0
2048,2048,8,8,float32,pairwise_reference_alignment,290619392,287522816,3096576,not_available_cpu_benchmark,1064960,0,0,131072,0,0
2048,2048,8,16,float32,canonical_factor_space,292831232,288997376,3833856,not_available_cpu_benchmark,2121728,0,0,131072,0,0
2048,2048,8,16,float32,cycle_aware_alignment,300318720,288817152,11501568,not_available_cpu_benchmark,2162688,0,0,131072,0,0
2048,2048,8,16,float32,dense_deterministic_truncated_svd,309329920,288980992,20348928,not_available_cpu_benchmark,17301504,1,16777216,131072,0,0
2048,2048,8,16,float32,dense_randomized_svd,294191104,274382848,19808256,not_available_cpu_benchmark,17301504,1,16777216,131072,0,0
2048,2048,8,16,float32,global_synchronization,300204032,288849920,11354112,not_available_cpu_benchmark,2162688,0,0,131072,0,0
2048,2048,8,16,float32,naive_factor_average,282050560,269828096,12222464,not_available_cpu_benchmark,262144,0,0,131072,0,0
2048,2048,8,16,float32,pairwise_reference_alignment,274530304,265388032,9142272,not_available_cpu_benchmark,2162688,0,0,131072,0,0
2048,2048,16,4,float32,canonical_factor_space,272891904,270270464,2621440,not_available_cpu_benchmark,1073152,0,0,262144,0,0
2048,2048,16,4,float32,cycle_aware_alignment,291897344,288178176,3719168,not_available_cpu_benchmark,1064960,0,0,262144,0,0
2048,2048,16,4,float32,dense_deterministic_truncated_svd,308920320,289112064,19808256,not_available_cpu_benchmark,17563648,1,16777216,262144,0,0
2048,2048,16,4,float32,dense_randomized_svd,308609024,288145408,20463616,not_available_cpu_benchmark,17563648,1,16777216,262144,0,0
2048,2048,16,4,float32,global_synchronization,282001408,278708224,3293184,not_available_cpu_benchmark,1064960,0,0,262144,0,0
