dimension_m,dimension_n,rank,adapter_count,precision,method,trial_count,median_wall_seconds,p25_wall_seconds,p75_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_cpu_seconds,minimum_cpu_seconds,maximum_cpu_seconds
1024,1024,16,4,float32,dense_randomized_svd,3,0.0040046251378953,0.00390672904904925,0.004200083552859699,0.0038088329602032,0.0043955419678241,0.0039419999999998,0.0037880000000001,0.004234
1024,1024,16,4,float32,global_synchronization,3,0.0040054160635918,0.00366025010589505,0.00418170809280125,0.0033150841481983,0.0043580001220107,0.0051599999999998,0.0042759999999999,0.0057489999999997
1024,1024,16,4,float32,naive_factor_average,3,7.945811375975609e-05,7.085409015417099e-05,0.00010616658255457805,6.225006654858589e-05,0.0001328750513494,7.899999999994023e-05,6.299999999992423e-05,0.0001299999999999
1024,1024,16,4,float32,pairwise_reference_alignment,3,0.0028582920785993,0.0027453961083665,0.0034010210074484,0.0026325001381337,0.0039437499362975,0.004113,0.0036639999999998,0.005163
1024,1024,16,8,float32,canonical_factor_space,3,0.0059976670891046,0.00573052105028175,0.00677652109879995,0.0054633750114589,0.0075553751084953,0.0059739999999999,0.0054609999999999,0.00651
1024,1024,16,8,float32,cycle_aware_alignment,3,0.0148611250333487,0.014851791551336549,0.0149134375387802,0.0148424580693244,0.0149657500442117,0.0186839999999999,0.0181850000000001,0.019643
1024,1024,16,8,float32,dense_deterministic_truncated_svd,3,0.0054009158629924,0.0052210415014997,0.0064265829278156005,0.005041167140007,0.0074522499926388,0.0053659999999999,0.0050399999999999,0.0072519999999998
1024,1024,16,8,float32,dense_randomized_svd,3,0.0029645410832017,0.00293604098260395,0.0030802285764366,0.0029075408820062,0.0031959160696715,0.0029639999999999,0.002904,0.003193
1024,1024,16,8,float32,global_synchronization,3,0.0170850839931517,0.01666008401662105,0.01785685447975985,0.0162350840400904,0.018628624966368,0.0209860000000001,0.0204439999999999,0.0220859999999998
1024,1024,16,8,float32,naive_factor_average,3,0.0001147917937487,0.00010339589789507955,0.00014270842075345,9.200000204145908e-05,0.0001706250477582,0.0001139999999999,9.1999999999981e-05,0.000169
1024,1024,16,8,float32,pairwise_reference_alignment,3,0.0102989170700311,0.01007810456212605,0.011037791497074,0.009857292054221,0.0117766659241169,0.0127629999999998,0.012469,0.0138500000000001
1024,1024,16,16,float32,canonical_factor_space,3,0.0116876671090722,0.01136168802622705,0.011994354077614799,0.0110357089433819,0.0123010410461574,0.0113389999999999,0.0110050000000001,0.012002
1024,1024,16,16,float32,cycle_aware_alignment,3,0.0829566668253392,0.08214102091733365,0.08496260433457789,0.0813253750093281,0.0869685418438166,0.102608,0.1009390000000001,0.110665
1024,1024,16,16,float32,dense_deterministic_truncated_svd,3,0.0050735000986605,0.0048957915278151,0.0059051250573246995,0.0047180829569697,0.0067367500159889,0.0050709999999998,0.004717,0.0064569999999999
1024,1024,16,16,float32,dense_randomized_svd,3,0.0041071251034736,0.0036925415042787,0.00423991656862195,0.0032779579050838,0.0043727080337703,0.0040909999999998,0.003276,0.004224
1024,1024,16,16,float32,global_synchronization,3,0.0840917909517884,0.08151352056302125,0.08552252047229555,0.0789352501742541,0.0869532499928027,0.1079769999999999,0.1006690000000001,0.1148139999999999
1024,1024,16,16,float32,naive_factor_average,3,0.0001660829875618,0.0001555625349283,0.00030291650909925,0.0001450420822948,0.0004397500306367,0.0001649999999999,0.0001439999999999,0.0004379999999999
1024,1024,16,16,float32,pairwise_reference_alignment,3,0.0526346659753471,0.0498489994788542,0.05288502050098025,0.0470633329823613,0.0531353750266134,0.05495,0.0511029999999999,0.0563550000000001
1024,1024,32,4,float32,canonical_factor_space,3,0.0087739590089768,0.0085078959818929,0.0089141464559361,0.008241832954809,0.0090543339028954,0.009354,0.0089069999999999,0.009673
1024,1024,32,4,float32,cycle_aware_alignment,3,0.008799250004813,0.0087878335034474,0.009302104008384,0.0087764170020818,0.009804958011955,0.0088860000000001,0.008769,0.009738
1024,1024,32,4,float32,dense_deterministic_truncated_svd,3,0.0122749160509556,0.01118320797104385,0.0125779791269451,0.0100914998911321,0.0128810422029346,0.0135069999999999,0.0112129999999999,0.014221
1024,1024,32,4,float32,dense_randomized_svd,3,0.0081704170443117,0.00771325000096105,0.0083486875519156,0.0072560829576104,0.0085269580595195,0.0087159999999999,0.007854,0.00913
1024,1024,32,4,float32,global_synchronization,3,0.0090399999171495,0.0087769373785704,0.00907924992498005,0.0085138748399913,0.0091184999328106,0.0088009999999998,0.0085239999999999,0.0090099999999999
1024,1024,32,4,float32,naive_factor_average,3,0.0001572498586028,0.00013391650281840002,0.0002230413956567,0.000110583147034,0.0002888329327106,0.0001569999999999,0.0001099999999998,0.0002869999999999
1024,1024,32,4,float32,pairwise_reference_alignment,3,0.0051003328990191,0.004892416414804699,0.005432083504274449,0.0046844999305903,0.0057638341095298,0.005093,0.0046840000000001,0.0055480000000001
1024,1024,32,8,float32,canonical_factor_space,3,0.0189350841101259,0.01861489645671095,0.0189460000256076,0.018294708803296,0.0189569159410893,0.0204280000000001,0.019212,0.0206589999999999
1024,1024,32,8,float32,cycle_aware_alignment,3,0.0421538341324776,0.041640542098321,0.0438060000305995,0.0411272500641644,0.0454581659287214,0.0533339999999999,0.0487789999999999,0.0564679999999999
1024,1024,32,8,float32,dense_deterministic_truncated_svd,3,0.0119153331033885,0.0115173329832032,0.012096187099814349,0.0111193328630179,0.0122770410962402,0.012942,0.01211,0.0136369999999999
1024,1024,32,8,float32,dense_randomized_svd,3,0.0074763330630958,0.0073030625935643495,0.0074794375104829496,0.0071297921240329,0.0074825419578701,0.008169,0.0079279999999999,0.0082280000000001
1024,1024,32,8,float32,global_synchronization,3,0.042848041979596,0.042687520966865095,0.04289310390595345,0.0425269999541342,0.0429381658323109,0.052675,0.0512700000000001,0.05369
1024,1024,32,8,float32,naive_factor_average,3,0.0003007499035447,0.000293020508252,0.0003253750037401,0.0002852911129593,0.0003500001039355,0.000299,0.0002839999999999,0.000348
1024,1024,32,8,float32,pairwise_reference_alignment,3,0.0198042090050876,0.01964070904068645,0.019822938018478398,0.0194772090762853,0.0198416670318692,0.01936,0.0193389999999999,0.0196109999999998
1024,1024,32,16,float32,canonical_factor_space,3,0.0341966249980032,0.03413502092007545,0.0346976250875741,0.0340734168421477,0.035198625177145,0.0362,0.0361959999999998,0.0374889999999998
1024,1024,32,16,float32,cycle_aware_alignment,3,0.2985077500343323,0.290970062604174,0.2994404585333541,0.2834323751740157,0.3003731670323759,0.3613499999999998,0.3568440000000001,0.377475
1024,1024,32,16,float32,dense_deterministic_truncated_svd,3,0.0117990421131253,0.01162577106151725,0.0120954170124605,0.0114525000099092,0.0123917919117957,0.012769,0.0125379999999999,0.0133829999999999
1024,1024,32,16,float32,dense_randomized_svd,3,0.0081922090612351,0.00777493801433585,0.00844106252770865,0.0073576669674366,0.0086899159941822,0.00885,0.0084239999999999,0.0091509999999999
1024,1024,32,16,float32,global_synchronization,3,0.3060518340207636,0.30364793795160944,0.3060670004924759,0.3012440418824553,0.3060821669641882,0.3852000000000002,0.376722,0.390708
1024,1024,32,16,float32,naive_factor_average,3,0.0003348749596625,0.00032097939401859996,0.00043779204133894995,0.0003070838283747,0.0005407091230154,0.000334,0.000307,0.000531
1024,1024,32,16,float32,pairwise_reference_alignment,3,0.1069541671313345,0.1060824380256235,0.1114438960794359,0.1052107089199125,0.1159336250275373,0.105633,0.10402,0.107693
2048,2048,4,4,float32,canonical_factor_space,3,0.0009815827943384,0.00093016645405435,0.00109572883229695,0.0008787501137703,0.0012098748702555,0.0009810000000001,0.0008779999999999,0.0012069999999999
2048,2048,4,4,float32,cycle_aware_alignment,3,0.002124625025317,0.00210027105640615,0.0023308125091716,0.0020759170874953,0.0025369999930262,0.0034050000000001,0.0031130000000001,0.0042839999999999
2048,2048,4,4,float32,dense_deterministic_truncated_svd,3,0.0140027909073978,0.01358214544598005,0.0140198534354567,0.0131614999845623,0.0140369159635156,0.0137479999999998,0.013022,0.013805
2048,2048,4,4,float32,dense_randomized_svd,3,0.0125247919932007,0.010651583434082498,0.01323327107820655,0.0087783748749643,0.0139417501632124,0.011338,0.00875,0.011498
2048,2048,4,4,float32,global_synchronization,3,0.0021001251880079,0.0020308336243033,0.0022976670879870003,0.0019615420605987,0.0024952089879661,0.0033009999999999,0.0032599999999998,0.0036979999999999
2048,2048,4,4,float32,naive_factor_average,3,6.64170365780592e-05,6.0458434745669365e-05,0.0001351040555163796,5.449983291327953e-05,0.0002037910744547,6.499999999998174e-05,5.299999999985872e-05,0.000202
2048,2048,4,4,float32,pairwise_reference_alignment,3,0.0026999169494956,0.0025374374818055998,0.0027616040315478502,0.0023749580141156,0.0028232911136001,0.0040979999999999,0.0035819999999999,0.004447
2048,2048,4,8,float32,canonical_factor_space,3,0.0019953751470893,0.0019592916360124503,0.00209704204462465,0.0019232081249356,0.00219870894216,0.0019949999999999,0.0019230000000001,0.002197
2048,2048,4,8,float32,cycle_aware_alignment,3,0.0069957498926669,0.00667420844547445,0.00709264597389845,0.006352666998282,0.00718954205513,0.0093069999999999,0.0083979999999999,0.0093259999999999
2048,2048,4,8,float32,dense_deterministic_truncated_svd,3,0.0148259170819073,0.01464554155245415,0.0151487500406801,0.014465166023001,0.0154715829994529,0.0144429999999999,0.014334,0.0151859999999999
2048,2048,4,8,float32,dense_randomized_svd,3,0.0099007911048829,0.008964270586147849,0.0101643746020272,0.0080277500674128,0.0104279580991715,0.0093789999999998,0.0079249999999999,0.009867
