complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,trivial_exact,95,3,3,1,0,0.9999975209685597,0.002226669426489299,3.767112923486165e-17,0.010716262906938352,False,False,True,5.112495273351669e-05
triangle_complex,trivial_exact,96,3,3,1,0,0.9999945926115766,0.0032885783565195837,1.7900783393438151e-16,0.0058025983149432815,False,False,True,5.1042065024375916e-05
triangle_complex,trivial_exact,97,3,3,1,0,0.9999655498967484,0.008300543337258251,7.214647514391608e-17,0.015643980396273637,False,False,True,5.17088919878006e-05
triangle_complex,trivial_exact,98,3,3,1,0,0.9999985149874061,0.001723375461842522,6.95745311813662e-17,0.003368116713327355,False,False,True,5.450006574392319e-05
triangle_complex,trivial_exact,99,3,3,1,0,0.9999930854874631,0.0037187332875196536,1.289985823334335e-16,0.010204930479217566,False,False,True,5.395803600549698e-05
triangle_complex,nontrivial_harmonic,0,3,3,1,0,0.004897573035190879,0.9999880068172642,0.0,1.7429417865333792,False,False,True,0.0021615829318761826
triangle_complex,nontrivial_harmonic,1,3,3,1,0,0.009258649028609348,0.9999571377904981,9.078571393226096e-17,1.7293746923919497,False,False,True,8.791708387434483e-05
triangle_complex,nontrivial_harmonic,2,3,3,1,0,0.00783307486405348,0.9999693209984863,1.1153975357165551e-16,1.7239626502967693,False,False,True,6.99581578373909e-05
triangle_complex,nontrivial_harmonic,3,3,3,1,0,0.009628970715749136,0.9999536403868705,1.4350135957306307e-16,1.7298923656959753,False,False,True,7.566600106656551e-05
triangle_complex,nontrivial_harmonic,4,3,3,1,0,0.00824629236633121,0.9999659987530621,6.429507844256263e-17,1.7267033535851632,False,False,True,6.462517194449902e-05
triangle_complex,nontrivial_harmonic,5,3,3,1,0,0.0048563758175673155,0.9999882077374307,1.2774722829979211e-16,1.7381354528934954,False,False,True,6.258301436901093e-05
triangle_complex,nontrivial_harmonic,6,3,3,1,0,0.004616218626838286,0.999989345206032,1.2778899711869214e-16,1.7375693063721156,False,False,True,6.195902824401855e-05
triangle_complex,nontrivial_harmonic,7,3,3,1,0,0.00869392493828435,0.9999622071204327,1.117923262642748e-16,1.7200554602832687,False,False,True,6.120791658759117e-05
triangle_complex,nontrivial_harmonic,8,3,3,1,0,0.008098501177712526,0.9999672066016336,0.0,1.742017549979836,False,False,True,6.0416990891098976e-05
triangle_complex,nontrivial_harmonic,9,3,3,1,0,0.00814351428141122,0.9999668410378157,1.2770841839295393e-16,1.7386265130398315,False,False,True,6.066705100238323e-05
triangle_complex,nontrivial_harmonic,10,3,3,1,0,0.010591482741365702,0.9999439086735513,6.447015747478168e-17,1.7219761735145518,False,False,True,6.0499878600239754e-05
triangle_complex,nontrivial_harmonic,11,3,3,1,0,0.007543753518652574,0.9999715454865954,0.0,1.743562229379388,False,False,True,6.125005893409252e-05
triangle_complex,nontrivial_harmonic,12,3,3,1,0,0.003305418493063202,0.9999945370893712,9.114300635139142e-17,1.7226597456701351,False,False,True,6.0208141803741455e-05
triangle_complex,nontrivial_harmonic,13,3,3,1,0,0.011814369196277387,0.9999302079047785,1.1172024353403848e-16,1.7211101748116122,False,False,True,5.991710349917412e-05
triangle_complex,nontrivial_harmonic,14,3,3,1,0,0.009882554809004117,0.9999511663628615,0.0,1.7298319737372585,False,False,True,6.05839304625988e-05
triangle_complex,nontrivial_harmonic,15,3,3,1,0,0.004812377271974815,0.9999884204454531,0.0,1.7440212992332202,False,False,True,5.9791142120957375e-05
triangle_complex,nontrivial_harmonic,16,3,3,1,0,0.00314554143882923,0.9999950527722908,6.409864304173246e-17,1.7320452967720714,False,False,True,5.9791142120957375e-05
triangle_complex,nontrivial_harmonic,17,3,3,1,0,0.006498546552480643,0.9999788842234146,9.079865187644242e-17,1.7291658769325287,False,False,True,5.979207344353199e-05
