benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.0,0.05,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.1,0.0,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.1,0.01,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.1,0.05,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.25,0.0,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.25,0.01,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.25,0.05,0.882
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.0,0.0,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.0,0.01,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.0,0.05,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.1,0.0,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.1,0.01,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.1,0.05,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.25,0.0,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.25,0.01,1.0
lora_holonomy,adaptive_router,1.0,96.0,384.0,4.0,4.0,7.758289575576782e-05,0.5408060089556551,,1.0,0.0,0.0,0.25,0.05,1.0
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.0,0.0,0.62875
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.0,0.01,0.62875
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.0,0.05,0.62875
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.1,0.0,0.5916250000000001
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.1,0.01,0.5916250000000001
