method,parameter_count,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,inference_multiplier,measured_inference_time_seconds,candidate_count,selector_validation_budget,is_single_model,is_branch_model,uses_supplied_context,uses_validation_data,uses_obstruction_data
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000665250001475215,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00046200002543628216,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00041437498293817043,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005404171533882618,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006781669799238443,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004403749480843544,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00040500005707144737,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006848338525742292,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.000503583112731576,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048445817083120346,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007038330659270287,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0009806249290704727,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003825000021606684,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006926660425961018,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00038329209201037884,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006813339423388243,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00044724997133016586,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006916248239576817,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008367910049855709,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004144578706473112,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003844168968498707,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004789589438587427,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004023329820483923,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003915829584002495,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007568341679871082,1,4000,True,False,False,False,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.000361250014975667,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006937498692423105,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006710831075906754,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004002500791102648,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006638329941779375,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005042499396950006,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004857501480728388,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004458329640328884,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0006819581612944603,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006617498584091663,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004842081107199192,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004999169614166021,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004924170207232237,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007438329048454762,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004894589073956013,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00039054197259247303,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00041904207319021225,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006856250111013651,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0008730408735573292,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007082910742610693,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0010020830668509007,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007418328896164894,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0011193337850272655,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00040616700425744057,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004677909892052412,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007436671294271946,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007579170633107424,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007490408606827259,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006976660806685686,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007107499986886978,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005842919927090406,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00039033289067447186,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0010074579622596502,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006767080631107092,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.000678124837577343,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007503330707550049,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0015513338148593903,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004671248607337475,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005149999633431435,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0008201249875128269,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0003926251083612442,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007696670945733786,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005288750398904085,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00045050005428493023,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00040570786222815514,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006702910177409649,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007362090982496738,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004129589069634676,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004562500398606062,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00048241694457829,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007367078214883804,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0009956250432878733,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0015370410401374102,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00042262510396540165,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0003884171601384878,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004433749709278345,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.000694249989464879,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0011110000777989626,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006674579344689846,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005097908433526754,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006889998912811279,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00042799999937415123,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005120830610394478,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007130410522222519,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006649170536547899,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004682079888880253,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0005069579929113388,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004936249461025,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007420422043651342,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00039825006388127804,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.00038329092785716057,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0006906250491738319,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007080419454723597,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007189582102000713,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004935411270707846,1,4000,True,False,False,True,False
distilled_single_model_control,2177,2177,2177,1.0,1,1.0,0.0007642079144716263,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004090408328920603,1,4000,True,False,False,True,False
distilled_single_model_control,577,577,577,1.0,1,1.0,0.0004891250282526016,1,4000,True,False,False,True,False
