setting_id,group,width,seed,group_order,generator_s_recovery_error,generator_r_recovery_error,generator_commutator_norm,group_action_max_error,context_changes_prediction_rate,strict_synchronization_accuracy,supplied_context_accuracy,random_control_accuracy,wrong_generator_accuracy,wrong_order_accuracy,hodge_lr_rank,hodge_lr_explained_energy,leakage_regression_passed
S3_W64_S0,S3,64,0,6,2.3737781972793028e-15,2.3737781972793028e-15,3.4641016151377544,0.0,0.859,0.14,1.0,0.1685,0.1005,0.7215,5,1.0,True
S3_W64_S1,S3,64,1,6,1.3055286701315112e-15,1.3055286701315112e-15,3.4641016151377544,0.0,0.853,0.1495,1.0,0.163,0.0945,0.7105,5,1.0,True
S3_W64_S2,S3,64,2,6,8.933407075723899e-15,8.933407075723897e-15,3.4641016151377544,0.0,0.85225,0.1505,1.0,0.162,0.1,0.7105,5,1.0,True
S3_W64_S3,S3,64,3,6,1.6165666977059692e-15,1.616566697705969e-15,3.4641016151377544,0.0,0.86125,0.131,1.0,0.1735,0.109,0.685,5,1.0,True
S3_W64_S4,S3,64,4,6,1.9737587841984706e-15,1.97375878419847e-15,3.4641016151377544,0.0,0.85325,0.147,1.0,0.1505,0.095,0.7155,5,1.0,True
S3_W64_S5,S3,64,5,6,1.4827688291102302e-15,1.4827688291102302e-15,3.4641016151377544,0.0,0.8585,0.1375,1.0,0.164,0.107,0.701,5,1.0,True
S3_W64_S6,S3,64,6,6,1.608195066673071e-15,1.608195066673071e-15,3.4641016151377544,0.0,0.85875,0.1475,1.0,0.1525,0.103,0.7195,5,1.0,True
S3_W64_S7,S3,64,7,6,1.4835973832459888e-15,1.4835973832459888e-15,3.4641016151377544,0.0,0.86275,0.1425,1.0,0.1675,0.093,0.716,5,1.0,True
S3_W64_S8,S3,64,8,6,1.8389421779822234e-15,1.8389421779822234e-15,3.4641016151377544,0.0,0.8565,0.146,1.0,0.168,0.1025,0.702,5,1.0,True
S3_W64_S9,S3,64,9,6,1.2434491763357317e-14,1.2434491763357317e-14,3.4641016151377544,0.0,0.8715,0.1295,1.0,0.1765,0.0975,0.7285,5,1.0,True
S3_W64_S10,S3,64,10,6,2.071310158746667e-15,2.071310158746667e-15,3.4641016151377544,0.0,0.854,0.1505,1.0,0.15,0.1055,0.709,5,1.0,True
S3_W64_S11,S3,64,11,6,1.528537077429898e-15,1.528537077429898e-15,3.4641016151377544,0.0,0.8575,0.14,1.0,0.172,0.097,0.7215,5,1.0,True
S3_W64_S12,S3,64,12,6,3.770100589415279e-15,3.770100589415279e-15,3.4641016151377544,0.0,0.86,0.1385,1.0,0.178,0.1045,0.6965,5,1.0,True
S3_W64_S13,S3,64,13,6,1.4255327531110499e-15,1.4255327531110499e-15,3.4641016151377544,0.0,0.84725,0.1485,1.0,0.1495,0.085,0.7055,5,1.0,True
S3_W64_S14,S3,64,14,6,1.5482809593360927e-15,1.5482809593360927e-15,3.4641016151377544,0.0,0.8555,0.143,1.0,0.1575,0.1035,0.704,5,1.0,True
S3_W64_S15,S3,64,15,6,1.904666909267296e-15,1.904666909267296e-15,3.4641016151377544,0.0,0.85125,0.1495,1.0,0.143,0.093,0.7155,5,1.0,True
S3_W64_S16,S3,64,16,6,2.7797006087313114e-15,2.7797006087313114e-15,3.4641016151377544,0.0,0.858,0.129,1.0,0.143,0.0925,0.734,5,1.0,True
S3_W64_S17,S3,64,17,6,2.900945704051424e-15,2.900945704051424e-15,3.4641016151377544,0.0,0.85,0.1545,1.0,0.1615,0.1065,0.718,5,1.0,True
S3_W64_S18,S3,64,18,6,2.6181428899306187e-15,2.6181428899306187e-15,3.4641016151377544,0.0,0.852,0.1415,1.0,0.167,0.0895,0.715,5,1.0,True
S3_W64_S19,S3,64,19,6,1.7059490827276974e-15,1.7059490827276974e-15,3.4641016151377544,0.0,0.855,0.1395,1.0,0.159,0.0985,0.717,5,1.0,True
S3_W64_S20,S3,64,20,6,1.887780137157947e-15,1.887780137157947e-15,3.4641016151377544,0.0,0.8575,0.137,1.0,0.167,0.098,0.711,5,1.0,True
S3_W64_S21,S3,64,21,6,1.837506927482161e-15,1.837506927482161e-15,3.4641016151377544,0.0,0.859,0.1425,1.0,0.164,0.0985,0.702,5,1.0,True
S3_W64_S22,S3,64,22,6,1.8685223972719374e-15,1.8685223972719374e-15,3.4641016151377544,0.0,0.86375,0.129,1.0,0.164,0.0985,0.702,5,1.0,True
S3_W64_S23,S3,64,23,6,2.0298068405350208e-15,2.0298068405350208e-15,3.4641016151377544,0.0,0.856,0.141,1.0,0.1775,0.1,0.703,5,1.0,True
S3_W64_S24,S3,64,24,6,1.2759815632887098e-15,1.2759815632887098e-15,3.4641016151377544,0.0,0.85675,0.136,1.0,0.164,0.1115,0.7,5,1.0,True
S3_W64_S25,S3,64,25,6,1.9156599256299288e-15,1.9156599256299288e-15,3.4641016151377544,0.0,0.86575,0.131,1.0,0.165,0.095,0.7035,5,1.0,True
S3_W64_S26,S3,64,26,6,1.6654502156311357e-15,1.6654502156311357e-15,3.4641016151377544,0.0,0.85325,0.146,1.0,0.1675,0.1,0.7115,5,1.0,True
S3_W64_S27,S3,64,27,6,4.2565708174020305e-15,4.2565708174020305e-15,3.4641016151377544,0.0,0.8605,0.1325,1.0,0.1825,0.0945,0.7165,5,1.0,True
S3_W64_S28,S3,64,28,6,5.220121166835228e-15,5.220121166835228e-15,3.4641016151377544,0.0,0.854,0.139,1.0,0.1675,0.1045,0.707,5,1.0,True
S3_W64_S29,S3,64,29,6,1.991782950183249e-15,1.991782950183249e-15,3.4641016151377544,0.0,0.85975,0.135,1.0,0.1705,0.1045,0.7145,5,1.0,True
S3_W64_S30,S3,64,30,6,5.562387442483569e-15,5.562387442483569e-15,3.4641016151377544,0.0,0.84875,0.1505,1.0,0.165,0.0925,0.7245,5,1.0,True
S3_W64_S31,S3,64,31,6,2.112324922623107e-15,2.112324922623107e-15,3.4641016151377544,0.0,0.858,0.1425,1.0,0.16,0.0985,0.7005,5,1.0,True
S3_W64_S32,S3,64,32,6,1.6177908701373928e-15,1.6177908701373928e-15,3.4641016151377544,0.0,0.85675,0.1415,1.0,0.165,0.105,0.7135,5,1.0,True
S3_W64_S33,S3,64,33,6,1.5345927646215176e-15,1.5345927646215176e-15,3.4641016151377544,0.0,0.855,0.1415,1.0,0.157,0.102,0.7095,5,1.0,True
S3_W64_S34,S3,64,34,6,1.8519135817180254e-15,1.8519135817180254e-15,3.4641016151377544,0.0,0.85375,0.149,1.0,0.166,0.0955,0.72,5,1.0,True
S3_W64_S35,S3,64,35,6,1.4873951008945771e-15,1.4873951008945771e-15,3.4641016151377544,0.0,0.85925,0.13,1.0,0.1745,0.102,0.706,5,1.0,True
