evidence_label,corpus_seed,transition_method,triangle,centrality_before,centrality_after,scalar_real_before,scalar_real_after,gauge_invariance_delta
natural_measured,0,activation_procrustes,1-3-5,0.3798703105970543,0.37987034094355915,0.9250398082658648,0.9250397821888328,3.034650486455348e-08
natural_measured,0,activation_procrustes,1-3-6,0.49171843392700465,0.4917184054758407,0.8707543797791004,0.8707544291391969,4.936009645462036e-08
natural_measured,0,activation_procrustes,1-3-7,0.4043820348204747,0.4043820194653644,0.9145901380106807,0.9145901771262288,3.91155481338501e-08
natural_measured,0,activation_procrustes,1-4-5,0.47054884583151796,0.4705488284435194,0.8823739867657423,0.8823739914223552,1.7387998541007477e-08
natural_measured,0,activation_procrustes,1-4-6,0.5393419190886629,0.5393419532962962,0.8420869894325733,0.8420869540423155,3.5390257835388184e-08
natural_measured,0,activation_procrustes,1-4-7,0.39768316262974024,0.3976831554092082,0.917522725649178,0.9175227554515004,2.9802322387695312e-08
natural_measured,0,activation_procrustes,1-5-6,0.5038676030400259,0.5038675979279027,0.8637810153886676,0.8637810051441193,1.0244548320770264e-08
natural_measured,0,activation_procrustes,1-5-7,0.40402972478066457,0.40402971627637674,0.9147459054365754,0.9147459072992206,8.504287829502744e-09
natural_measured,0,activation_procrustes,1-6-7,0.39323749379454154,0.3932374961024945,0.9194369241595268,0.9194369427859783,1.862645149230957e-08
natural_measured,0,activation_procrustes,2-3-4,0.4930117476109154,0.49301176043778633,0.8700227728113532,0.8700228128582239,4.0046870708465576e-08
natural_measured,0,activation_procrustes,2-3-5,0.4017648463181794,0.401764852504368,0.9157429495826364,0.9157429840415716,3.4458935260772705e-08
natural_measured,0,activation_procrustes,2-3-6,0.4173007498806955,0.4173007560621596,0.9087685737758875,0.9087686287239194,5.494803190231323e-08
natural_measured,0,activation_procrustes,2-3-7,0.48646839124849545,0.4864683993185941,0.8736982475966215,0.8736983137205243,6.612390279769897e-08
natural_measured,0,activation_procrustes,2-4-5,0.5159919351278175,0.5159919600867637,0.8565936181694269,0.8565935799852014,3.818422555923462e-08
natural_measured,0,activation_procrustes,2-4-6,0.38991913567973424,0.3899190984768416,0.9208492850884795,0.9208493493497372,6.426125764846802e-08
natural_measured,0,activation_procrustes,2-4-7,0.5024744378143015,0.5024744159990072,0.8645921591669321,0.8645922355353832,7.636845111846924e-08
natural_measured,0,activation_procrustes,2-5-6,0.42542899980347704,0.42542900541545997,0.9049918623641133,0.9049918670207262,5.611982933917403e-09
natural_measured,0,activation_procrustes,2-5-7,0.47823312680577756,0.47823312021955433,0.8782330043613911,0.8782330462709069,4.190951585769653e-08
