summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_no_test_leakage,selector_choice_counts,selector_behavior_reference,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,mean_selected_alpha,fraction_alpha_zero,fraction_alpha_one_or_more,mean_finite_selected_tau,fraction_tau_infinite,soup_mean_ingredient_count,selected_type_examples,target,predictor,pearson,spearman,claim,claim_decision,claim_reason
method_summary,fixed_setting,3,32,ensemble_upper_bound,,20.0,20.0,0.866915,0.0007348925807648042,0.5973856855249403,-0.003660000000000013,0.039785,0.004720000000000007,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,git_rebasin_pairwise,,20.0,20.0,0.824535,0.004046182573865475,0.8095252737188341,0.03871999999999999,-0.0025949999999999975,-0.03765999999999999,pairwise_reference_permutation_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,global_monomial_greedy_soup,,20.0,20.0,0.8616849999999999,0.0010318168697165087,0.6179993380403517,0.001569999999999988,0.034555,-0.0005099999999999937,global_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,global_monomial_scale,,20.0,20.0,0.8385300000000001,0.0023699777924786783,0.7919383818864822,0.024724999999999997,0.011399999999999993,-0.023665000000000002,validation_selected_global_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,greedy_soup,,20.0,20.0,0.862195,0.0009478639420463129,0.6076623746991158,0.0010599999999999943,0.035065,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,improved_validated_selector,,20.0,20.0,0.861505,0.0010779970461828466,0.630422401816845,0.001749999999999996,0.034374999999999996,-0.0006900000000000017,validation_selected_single_model_or_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,monomial_scale,,20.0,20.0,0.8353400000000001,0.002833376263864645,0.7952695271539688,0.027914999999999995,0.008209999999999995,-0.026855,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,monomial_scaled_greedy_soup,,20.0,20.0,0.8617950000000001,0.0009609883892173324,0.612799113278389,0.001459999999999989,0.034665,-0.0003999999999999948,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,optimized_monomial_greedy_soup,,20.0,20.0,0.862195,0.0009478639420463129,0.6076623765921592,0.0010599999999999943,0.035065,0.0,optimized_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,optimized_monomial_scale,,20.0,20.0,0.83661,0.0025765633986704903,0.6446826112556457,0.026644999999999995,0.009479999999999994,-0.025585000000000004,validation_optimized_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,randomly_augmented_candidate_union,,20.0,20.0,0.861925,0.0009489849147489378,0.6225344296956062,0.0013299999999999979,0.03479499999999999,-0.0002700000000000036,validation_selected_augmented_union_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,shrinkage_monomial_greedy_soup,,20.0,20.0,0.86187,0.000945741146291876,0.613030698878765,0.0013849999999999917,0.03474,-0.0003249999999999975,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,shrinkage_monomial_scale,,20.0,20.0,0.837715,0.0024902153257140335,0.7904663325357437,0.02553999999999999,0.010585,-0.024479999999999995,validation_selected_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,union_candidate_soup,,20.0,20.0,0.86181,0.000940377863582392,0.6125294846367837,0.0014449999999999962,0.034679999999999996,-0.000385000000000002,validation_selected_union_candidate_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,validated_ladder_selector,,20.0,20.0,0.8353200000000001,0.002908341904174773,0.7970945053720475,0.027934999999999988,0.008190000000000003,-0.026874999999999993,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,weight_average,,20.0,20.0,0.7286550000000002,0.00969210876788024,1.4099818541526794,0.1346,-0.09847500000000001,-0.13354000000000002,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,c2m3_greedy_soup,,20.0,20.0,0.879585,0.0006836925671058505,0.48433117888927457,0.0015600000000000002,0.013884999999999991,-0.0004099999999999937,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,c2m3_permutation,,20.0,20.0,0.8657,0.001489118425179987,0.6022437542295456,0.015444999999999992,0.0,-0.014294999999999985,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,ensemble_upper_bound,,20.0,20.0,0.88262,0.0003528530333692697,0.46980726870536793,-0.001474999999999993,0.016919999999999984,0.0026249999999999997,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,git_rebasin_pairwise,,20.0,20.0,0.8650800000000001,0.0015904252989621822,0.6025644100046158,0.016065000000000003,-0.0006200000000000094,-0.014914999999999994,pairwise_reference_permutation_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,global_monomial_greedy_soup,,20.0,20.0,0.87942,0.000612226308346494,0.49043413647174844,0.0017249999999999987,0.013719999999999993,-0.0005749999999999922,global_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,global_monomial_scale,,20.0,20.0,0.870505,0.000671544762782834,0.5922711119699479,0.010639999999999983,0.004805000000000009,-0.009489999999999976,validation_selected_global_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,greedy_soup,,20.0,20.0,0.8799949999999999,0.0005327424083778292,0.4772082400274277,0.0011500000000000065,0.014294999999999985,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,improved_validated_selector,,20.0,20.0,0.876595,0.0010664864842334517,0.5037686192560196,0.0045499999999999985,0.010894999999999993,-0.003399999999999992,validation_selected_single_model_or_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,monomial_scale,,20.0,20.0,0.8701999999999999,0.0007173782676854447,0.5935213046836852,0.010944999999999993,0.004499999999999999,-0.009794999999999988,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,monomial_scaled_greedy_soup,,20.0,20.0,0.8797200000000001,0.0005849696348394568,0.4836142648053169,0.0014249999999999985,0.014019999999999994,-0.00027499999999999194,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,optimized_monomial_greedy_soup,,20.0,20.0,0.8793049999999999,0.0007772920266777751,0.4781360384678841,0.0018400000000000083,0.013604999999999983,-0.0006900000000000017,optimized_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,optimized_monomial_scale,,20.0,20.0,0.8689300000000001,0.0007501263051541468,0.4833138261818887,0.012214999999999993,0.0032299999999999994,-0.011064999999999986,validation_optimized_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,randomly_augmented_candidate_union,,20.0,20.0,0.878895,0.0006528268489705671,0.5027232606339453,0.0022499999999999964,0.013194999999999995,-0.0010999999999999899,validation_selected_augmented_union_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,shrinkage_monomial_greedy_soup,,20.0,20.0,0.8796350000000001,0.0006103611959108173,0.4868320440602303,0.0015100000000000003,0.013934999999999993,-0.0003599999999999937,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,shrinkage_monomial_scale,,20.0,20.0,0.870415,0.0006895183292094472,0.5922336141180993,0.010729999999999984,0.004715000000000008,-0.009579999999999977,validation_selected_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,union_candidate_soup,,20.0,20.0,0.879195,0.0005392721703223794,0.49325506053447715,0.0019499999999999962,0.013494999999999997,-0.0007999999999999896,validation_selected_union_candidate_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,validated_ladder_selector,,20.0,20.0,0.8699899999999999,0.000756198943470079,0.5943005121350289,0.011154999999999993,0.0042899999999999995,-0.010004999999999986,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,weight_average,,20.0,20.0,0.7855700000000001,0.00845132222604375,1.2050337413263321,0.095575,-0.08013,-0.094425,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,c2m3_greedy_soup,,20.0,20.0,0.8299949999999999,0.0017516680020693686,0.8638489102649689,0.0027750000000000053,0.09308000000000002,-0.0011349999999999971,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,c2m3_permutation,,20.0,20.0,0.736915,0.008162514689275091,1.1808041474437714,0.09585500000000002,0.0,-0.09421500000000002,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,ensemble_upper_bound,,20.0,20.0,0.8465050000000002,0.0013069344404287996,0.8146231411790847,-0.013734999999999987,0.10958999999999999,0.015374999999999995,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,git_rebasin_pairwise,,20.0,20.0,0.74028,0.008433996368083292,1.1833412984228135,0.09249,0.003365000000000007,-0.09085000000000001,pairwise_reference_permutation_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,global_monomial_greedy_soup,,20.0,20.0,0.83084,0.001684611465434594,0.8540200849962234,0.001930000000000004,0.09392500000000002,-0.00028999999999999583,global_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,global_monomial_scale,,20.0,20.0,0.767865,0.006352903501135275,1.1522439533472064,0.06490500000000002,0.030950000000000012,-0.06326499999999999,validation_selected_global_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,greedy_soup,,20.0,20.0,0.8311299999999999,0.0016582663743865342,0.8454643193483353,0.0016400000000000082,0.09421500000000002,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,improved_validated_selector,,20.0,20.0,0.8303899999999999,0.0017906026624398977,0.8855542743873597,0.0023800000000000153,0.09347500000000002,-0.0007400000000000074,validation_selected_single_model_or_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,monomial_scale,,20.0,20.0,0.7419600000000001,0.008605959991100417,1.17279985455513,0.09080999999999999,0.00504500000000001,-0.08917000000000001,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,monomial_scaled_greedy_soup,,20.0,20.0,0.8311299999999999,0.0016582663743865342,0.8454643207645416,0.0016400000000000082,0.09421500000000002,0.0,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,optimized_monomial_greedy_soup,,20.0,20.0,0.8311299999999999,0.0016582663743865342,0.8454643222808839,0.0016400000000000082,0.09421500000000002,0.0,optimized_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,optimized_monomial_scale,,20.0,20.0,0.7589400000000001,0.004501844066602042,0.9244553952312471,0.07383000000000002,0.02202500000000001,-0.07219,validation_optimized_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
