setting_id,group,seed,method,implementation,accuracy,loss,ece,action_accuracy,downstream_task_accuracy,multiplication_error,trainable_parameters,stored_parameters,training_words,generator_supervision,multiplication_supervision,optimization_epochs,training_time_seconds,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
A4_seed0,A4,0,symbolic_word_reduction_oracle,executed_exact_word_reduction,1.0,-0.0,0.0,1.0,1.0,0.0,0,0,2048,2048,144,0,0.0,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,learned_cayley_table_model,LearnedCayleyTable,0.15290178571428573,2.5863031782147226,0.0716514407293378,0.15290178571428573,0.15290178571428573,0.8470982142857143,1728,1728,2048,2048,144,20,5.582626834046096,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,differentiable_finite_state_automaton,DifferentiableAutomaton,0.17857142857142858,2.5569819164135166,0.06150538070645875,0.17857142857142858,0.17857142857142858,0.8214285714285714,1728,1728,2048,2048,144,20,5.391510958084837,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,group_equivariant_recurrent_network,ExactRegularRNN,0.9229910714285714,0.9807608041239776,0.5289910775477464,0.9229910714285714,0.9229910714285714,0.0770089285714286,144,144,2048,2048,144,20,1.9191799168474972,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,group_equivariant_transformer,EquivariantTransformer,0.14508928571428573,5.201463761729864,0.6410034617132115,0.14508928571428573,0.14508928571428573,0.8549107142857143,5748,5748,2048,2048,0,20,23.354784875176847,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,transformer_multiplication_augmentation,SequenceTransformer,0.11830357142857142,6.201784982833467,0.6706490780411181,0.11830357142857142,0.11830357142857142,0.8816964285714286,9708,9708,2048,2048,144,20,5.086853000102565,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,ordinary_sequence_transformer,SequenceTransformer,0.15625,7.0244222443913555,0.7244826241163744,0.15625,0.15625,0.84375,9708,9708,2048,2048,0,20,3.1300102500244975,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,sequence_mlp,SequenceMLP,0.15959821428571427,9.387796985604751,0.7482939922154794,0.15959821428571427,0.15959821428571427,0.8404017857142857,6564,6564,2048,2048,0,20,1.6567704160697758,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,generic_moe,GenericMoE,0.16183035714285715,8.517620869309129,0.7186503910694925,0.16183035714285715,0.16183035714285715,0.8381696428571428,9146,9146,2048,2048,0,20,2.971770792035386,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,generic_matrix_action_model,MatrixActionModel,0.38950892857142855,285.0475158621237,0.14004247509778733,0.38950892857142855,0.38950892857142855,0.6104910714285714,3292,3292,2048,2048,0,20,3.8496379170101136,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
