collection,layer,gauge_family,inverse_consistency,cycle_residual,centrality,hodge_exact,hodge_coexact,hodge_harmonic,distance_to_coboundaries,residual_rank
2,penultimate,cca_whitened,1.313013809818818e-14,1.0682094043451713,1.7934440897910642,0.8511106578538981,0.5249863313339738,1.665691479691346e-16,0.13876926757926208,12
2,penultimate,low_rank_subspace,0.9970303218920207,1.0208948679975243,0.3109814986372611,0.8694382190402025,0.49404168171542084,1.544711029016219e-16,0.10586332421483538,24
3,block2,channel_permutation,0.0,0.4082482904638631,0.0,0.7905694150420949,0.6123724356957946,6.206335383118183e-17,0.04166666666666667,0
3,block2,positive_monomial,0.43570555197547783,0.4929325906983724,0.07516873845420816,0.7704648425990421,0.6374824909900141,1.247358305237959e-16,0.0428356712526667,24
3,block2,orthogonal_procrustes,3.987009239266063e-15,0.41498914371767287,0.5793505415500686,0.7824551471362334,0.6227069477049495,1.6238987480505747e-16,0.058696745470489746,6
3,block2,block_orthogonal,1.8656747041064353e-15,0.43005906640896546,0.5753345389420207,0.720406934974859,0.6935516188721135,1.848303498373595e-16,0.05590171137924416,10
3,block2,cca_whitened,6.881731201710475e-15,1.3921324676233782,1.7838890107862382,0.7912899619197812,0.6114410815156206,1.6474934395849903e-16,0.09515053545563289,4
3,block2,low_rank_subspace,1.0395242738561552,1.0427897005294609,0.3006273489628964,0.8545852720981133,0.5193110943480734,1.5171057745314908e-16,0.10303161347903184,24
3,block3,channel_permutation,0.0,0.8660254037844386,0.5773502691896258,0.7499999999999999,0.6614378277661477,1.680713408234496e-16,0.06364688465216445,2
3,block3,positive_monomial,0.7463848515926861,0.8801237634392032,0.11229028200749068,0.8042274618334632,0.5943216213742404,1.5805663738312213e-16,0.06086440980972716,24
3,block3,orthogonal_procrustes,4.090060593996499e-15,0.4854690944803226,0.5769251729139825,0.8301563188987289,0.5575307042598749,1.6362953438227549e-16,0.06790541621990863,18
3,block3,block_orthogonal,1.4069957517209188e-15,0.7379563232060901,0.6842958731916304,0.7504811312926403,0.6608918758569505,1.6615723361494369e-16,0.07152214753259883,20
3,block3,cca_whitened,8.229391803890768e-15,1.1674923023141501,1.6145741940809857,0.8203694801348708,0.5718338185725304,1.6357519233278914e-16,0.11335097079073089,13
3,block3,low_rank_subspace,1.0459745389695734,1.093797984642716,0.4114004812292862,0.8755949599949058,0.48304602889530096,1.5331065600581301e-16,0.0993863723424279,24
3,block4,channel_permutation,0.0,1.118033988749895,1.0801234497346435,0.7264831572567789,0.6871842709362768,1.4342991908697546e-16,0.1108938848796619,12
3,block4,positive_monomial,0.8891436626178142,0.9454908145641435,0.014740238731917828,0.8469267678384728,0.5317095540976087,1.487794285562118e-16,0.07764889826531182,24
3,block4,orthogonal_procrustes,4.907392968813644e-15,0.5992526998483321,0.6589308911352126,0.8621080659439346,0.5067244642154242,1.6235733236014485e-16,0.06838487290809511,18
3,block4,block_orthogonal,1.83341566834811e-15,1.0417121924793096,0.9150689725923322,0.7336999900379421,0.6794735643263273,1.5472379623998702e-16,0.09820395826812049,14
3,block4,cca_whitened,9.858199176738134e-15,0.9118974913879075,1.7278477809106765,0.8729733759857128,0.4877678595603724,1.688704535045495e-16,0.12227603934531181,16
3,block4,low_rank_subspace,0.9899421673152283,1.0131632364235033,0.34108365209687325,0.887448104042466,0.46090765087101004,1.5742480095332667e-16,0.09585396201746915,24
3,penultimate,channel_permutation,0.0,1.118033988749895,1.0801234497346435,0.7264831572567789,0.6871842709362768,1.4342991908697546e-16,0.1108938848796619,12
3,penultimate,positive_monomial,0.8891436626178142,0.9454908145641435,0.014740238731917828,0.8469267678384728,0.5317095540976087,1.487794285562118e-16,0.07764889826531182,24
3,penultimate,orthogonal_procrustes,4.907392968813644e-15,0.5992526998483321,0.6589308911352126,0.8621080659439346,0.5067244642154242,1.6235733236014485e-16,0.06838487290809511,18
3,penultimate,block_orthogonal,1.83341566834811e-15,1.0417121924793096,0.9150689725923322,0.7336999900379421,0.6794735643263273,1.5472379623998702e-16,0.09820395826812049,14
3,penultimate,cca_whitened,9.858199176738134e-15,0.9118974913879075,1.7278477809106765,0.8729733759857128,0.4877678595603724,1.688704535045495e-16,0.12227603934531181,16
3,penultimate,low_rank_subspace,0.9899421673152283,1.0131632364235033,0.34108365209687325,0.887448104042466,0.46090765087101004,1.5742480095332667e-16,0.09585396201746915,24
4,block2,channel_permutation,0.0,0.5,0.0,0.8660254037844387,0.5,1.5961969872989617e-16,0.029462782549439476,0
4,block2,positive_monomial,0.43335679526916854,0.5159069563285804,0.020125565527183933,0.8059464917438816,0.5919883887761057,1.666682183133833e-16,0.03742007173365618,24
4,block2,orthogonal_procrustes,3.4043511135443075e-15,0.4141934600021382,0.580538825240929,0.7738953294364919,0.6333135235224212,1.6487929200500367e-16,0.05960341848573373,6
4,block2,block_orthogonal,2.2271342282877293e-15,0.423966067464698,0.5595864297046201,0.7103817523091807,0.7038165712642308,1.805319041374172e-16,0.0570658807413331,12
4,block2,cca_whitened,6.985171806763065e-15,1.42618885631019,1.7314033750333235,0.8073967203575838,0.5900089287085561,1.6942224555212822e-16,0.09132585971440925,2
4,block2,low_rank_subspace,1.041043547493486,1.0679698639802944,0.32349299002326287,0.8657833113528477,0.5004190821530473,1.5743996177094593e-16,0.09973111811157043,24
4,block3,channel_permutation,0.0,0.5773502691896258,0.5,0.6519202405202649,0.758287544405155,1.539512110316623e-16,0.05768488793693107,2
4,block3,positive_monomial,0.7518568783852665,0.8559393887624521,0.04997617012111807,0.7787337982929943,0.6273545021725486,1.5339061089187211e-16,0.05940647310650297,24
4,block3,orthogonal_procrustes,3.0604740310599816e-15,0.43975328125962304,0.5933267853918834,0.8275871715335612,0.5613372190698566,1.5739736906975832e-16,0.06787203690030778,16
4,block3,block_orthogonal,2.5624244589680756e-15,0.6365577642448984,0.5938614141461183,0.7459540011947862,0.6659974685398506,1.5407567279296672e-16,0.06484516948471056,16
4,block3,cca_whitened,9.750108388933262e-15,1.6031114946897695,1.8866200707163021,0.8360985103380801,0.5485793297331237,1.6432044199990056e-16,0.10554436328859068,11
4,block3,low_rank_subspace,1.0876449224817148,1.0606971316075686,0.3694668499104776,0.8597595220255926,0.5106990936807353,1.5319531144903378e-16,0.10692256237168164,24
4,block4,channel_permutation,0.0,1.1547005383792517,1.0408329997330663,0.7071067811865476,0.7071067811865476,1.5117964738314654e-16,0.10063456073742666,8
4,block4,positive_monomial,0.9194465258995236,0.9529384659729433,0.12230153354115192,0.837553071910697,0.5463559752880488,1.3352240023826058e-16,0.07856249733925834,24
4,block4,orthogonal_procrustes,3.899797338444646e-15,0.7018495520383634,0.7224247275718324,0.8200725535288699,0.5722595625663577,1.5684202410762467e-16,0.07619515461379867,16
4,block4,block_orthogonal,2.9812504918934752e-15,1.0520767779129887,0.9885580283023514,0.6813666868857067,0.7319422367935842,1.5546029312051835e-16,0.09916957351808565,17
4,block4,cca_whitened,1.3048430297562883e-14,1.5071387171986552,2.5374702897671377,0.7949381077767373,0.6066905346256362,1.530315448684898e-16,0.14730169935637866,13
4,block4,low_rank_subspace,1.0221775476800412,1.0664114473308364,0.5365954069070301,0.8465005821800103,0.5323877950976186,1.5865936839842036e-16,0.11403329877328917,24
4,penultimate,channel_permutation,0.0,1.1547005383792517,1.0408329997330663,0.7071067811865476,0.7071067811865476,1.5117964738314654e-16,0.10063456073742666,8
4,penultimate,positive_monomial,0.9194465258995236,0.9529384659729433,0.12230153354115192,0.837553071910697,0.5463559752880488,1.3352240023826058e-16,0.07856249733925834,24
4,penultimate,orthogonal_procrustes,3.899797338444646e-15,0.7018495520383634,0.7224247275718324,0.8200725535288699,0.5722595625663577,1.5684202410762467e-16,0.07619515461379867,16
4,penultimate,block_orthogonal,2.9812504918934752e-15,1.0520767779129887,0.9885580283023514,0.6813666868857067,0.7319422367935842,1.5546029312051835e-16,0.09916957351808565,17
4,penultimate,cca_whitened,1.3048430297562883e-14,1.5071387171986552,2.5374702897671377,0.7949381077767373,0.6066905346256362,1.530315448684898e-16,0.14730169935637866,13
4,penultimate,low_rank_subspace,1.0221775476800412,1.0664114473308364,0.5365954069070301,0.8465005821800103,0.5323877950976186,1.5865936839842036e-16,0.11403329877328917,24
