seed,method,condition,examples,task_accuracy
21,d4_chart_hard_branch_selection,heldout_reflections,250,0.5440000295639038
21,d4_chart_hard_branch_selection,heldout_rotations,250,0.5759999752044678
21,d4_chart_hard_branch_selection,seen_rotations,250,0.5920000076293945
21,inverse_transform_one_canonical_expert,ambiguous_symmetric_inputs,250,0.4480000138282776
21,inverse_transform_one_canonical_expert,blur,250,0.6600000262260437
21,inverse_transform_one_canonical_expert,chart_distribution_shift,250,0.6880000233650208
21,inverse_transform_one_canonical_expert,gaussian_corruption,250,0.6200000047683716
21,inverse_transform_one_canonical_expert,heldout_compositions,250,0.7200000286102295
21,inverse_transform_one_canonical_expert,heldout_reflections,250,0.7519999742507935
21,inverse_transform_one_canonical_expert,heldout_rotations,250,0.7720000147819519
21,inverse_transform_one_canonical_expert,seen_rotations,250,0.7519999742507935
21,inverse_transform_four_expert_average,ambiguous_symmetric_inputs,250,0.3840000033378601
21,inverse_transform_four_expert_average,blur,250,0.6959999799728394
21,inverse_transform_four_expert_average,chart_distribution_shift,250,0.6880000233650208
21,inverse_transform_four_expert_average,gaussian_corruption,250,0.6119999885559082
21,inverse_transform_four_expert_average,heldout_compositions,250,0.7200000286102295
21,inverse_transform_four_expert_average,heldout_reflections,250,0.7440000176429749
21,inverse_transform_four_expert_average,heldout_rotations,250,0.7239999771118164
21,inverse_transform_four_expert_average,seen_rotations,250,0.7200000286102295
21,canonicalize_pool_retransport,ambiguous_symmetric_inputs,250,0.29600000381469727
21,canonicalize_pool_retransport,blur,250,0.328000009059906
21,canonicalize_pool_retransport,chart_distribution_shift,250,0.3160000145435333
21,canonicalize_pool_retransport,gaussian_corruption,250,0.2800000011920929
21,canonicalize_pool_retransport,heldout_compositions,250,0.36800000071525574
21,canonicalize_pool_retransport,heldout_reflections,250,0.40400001406669617
21,canonicalize_pool_retransport,heldout_rotations,250,0.328000009059906
21,canonicalize_pool_retransport,seen_rotations,250,0.3440000116825104
21,uncertainty_weighted_retransport,ambiguous_symmetric_inputs,250,0.3400000035762787
