evidence_label,mode,seed,node,task_order,parent,appended_task,depth,training_examples_per_edge,epochs_per_edge,optimizer_steps_this_edge,edge_training_seconds,final_training_loss,validation_mean_accuracy,validation_worst_accuracy,validation_a_accuracy,validation_b_accuracy,validation_c_accuracy,first_task_forgetting,state_sha256,checkpoint_sha256,trainable_parameters,adapter_total_parameters,frozen_encoder_parameters,stored_bytes,source_m0_path,source_m0_sha256,test_mean_accuracy,test_worst_domain_accuracy,test_mean_nll,test_mean_brier,test_mean_ece,test_a_accuracy,test_a_nll,test_a_brier,test_a_ece,test_b_accuracy,test_b_nll,test_b_brier,test_b_ece,test_c_accuracy,test_c_nll,test_c_brier,test_c_ece
natural_model_lineage,scored_after_logit_hash,1,M_AB,AB,M_A,B,2,2500,12,120,0.03218945814296603,1.2892613410949707,0.4928385416666667,0.279296875,0.279296875,0.58203125,0.6171875,0.1640625,1a34f08e171903ab42cfc4299609e0522400a692a8f6cc4eaf3c794f23a68d39,4f3ff7fa86d22d78cb4851a6f82a01c8fa3134a6ed72825a666e82b5b05184a6,1162,1162,11176512,4648,,,0.4880000054836273,0.3089999854564667,1.5880331595738728,0.6697628696759542,0.1140959850163199,0.3089999854564667,2.165964126586914,0.8731259703636169,0.19020515933516435,0.5600000023841858,1.2642967700958252,0.569385826587677,0.04441539497929625,0.5950000286102295,1.3338385820388794,0.5667768120765686,0.1076674007344991
natural_model_lineage,scored_after_logit_hash,1,M_AC,AC,M_A,C,2,2500,12,120,0.03225604188628495,0.8171175718307495,0.4772135416666667,0.232421875,0.232421875,0.53125,0.66796875,0.2109375,49ae4298356d34d2b1322aa1a3f26bc2bdccba845369e9403cf63fc29929f31b,91a327db889ef52b17f0020a37cd2787cc6a336d130bbf32d155c6acd21c9fc3,1162,1162,11176512,4648,,,0.48266666134198505,0.25600001215934753,1.5820837418238323,0.6715987424055735,0.10503326438871834,0.25600001215934753,2.387082576751709,0.9376872181892395,0.24207535875029862,0.5329999923706055,1.3413257598876953,0.6083225607872009,0.04968935652868822,0.6589999794960022,1.0178428888320923,0.46878644824028015,0.023335077887168154
natural_model_lineage,scored_after_logit_hash,1,M_BA,BA,M_B,A,2,2500,12,120,0.03220612485893071,1.5128928422927856,0.4954427083333333,0.451171875,0.451171875,0.505859375,0.529296875,0.076171875,5987e2de63c1be86acf381d29a3687c407a1072b94f7d52eaa0c1bafad4c1d06,e9469258a92dc7041af4e7fcd385a51b26695c37c5a34cf9379adb7d610a85a8,1162,1162,11176512,4648,,,0.48733333746592206,0.4169999957084656,1.6158838669459026,0.6759970784187317,0.1128398635967945,0.4169999957084656,1.6130672693252563,0.7104417681694031,0.0319982441724278,0.527999997138977,1.546616792678833,0.6471209526062012,0.10988364921649918,0.5170000195503235,1.6879675388336182,0.6704285144805908,0.19663769740145653
natural_model_lineage,scored_after_logit_hash,1,M_BC,BC,M_B,C,2,2500,12,120,0.03264108416624367,0.7975285649299622,0.4733072916666667,0.2109375,0.2109375,0.5390625,0.669921875,0.04296875,75f7e27b546ce974332a653a3318f6516aa7aeacf446867ad2bbfd6625fda944,1f2d6438e5acdcf4c3f82e806b5ae453e5abb7e8b8bf76defd839db97bc9cd91,1162,1162,11176512,4648,,,0.47333334386348724,0.2329999953508377,1.660020112991333,0.6883806387583414,0.13134101321338676,0.2329999953508377,2.6234402656555176,0.9909829497337341,0.30047283045132644,0.5360000133514404,1.334702968597412,0.6062093377113342,0.05659166380064562,0.6510000228881836,1.0219171047210693,0.46794962882995605,0.03695854538818821
natural_model_lineage,scored_after_logit_hash,1,M_CA,CA,M_C,A,2,2500,12,120,0.03231658414006233,1.5381349325180054,0.5006510416666666,0.447265625,0.447265625,0.49609375,0.55859375,0.103515625,11adbc72ff0b35b7f8e59c4c917816d9a13a0b43bde58e714d639382b618ab65,1f2b6fbfd831b0454b1c573bf4c2f144b149a4495b073d97b7213b6b8afc8e52,1162,1162,11176512,4648,,,0.4923333426316579,0.4189999997615814,1.573608120282491,0.6672597726186117,0.10390970717708115,0.4189999997615814,1.6203733682632446,0.7119614481925964,0.031975754420273006,0.5139999985694885,1.5674241781234741,0.654428243637085,0.11402402694511693,0.5440000295639038,1.5330268144607544,0.6353896260261536,0.1657293401658535
natural_model_lineage,scored_after_logit_hash,1,M_CB,CB,M_C,B,2,2500,12,120,0.03597820783033967,1.29276442527771,0.4967447916666667,0.25390625,0.25390625,0.580078125,0.65625,0.005859375,c6c4a4bf6f033f9b319e5a534e171801e966ef034be1d5a9f2dfe21303f68f22,25aa72beb6f44f7a968651f801fe83fe26bf41df6ff5dedcc8b7fbe5830ee1b2,1162,1162,11176512,4648,,,0.4826666812102,0.27900001406669617,1.636806567509969,0.6817161838213602,0.1338495477102697,0.27900001406669617,2.3753998279571533,0.9233178496360779,0.24589312938041985,0.5640000104904175,1.2694581747055054,0.5736738443374634,0.04971283080521971,0.6050000190734863,1.2655616998672485,0.5481568574905396,0.10594268294516951
natural_model_lineage,scored_after_logit_hash,1,M_ABC,ABC,M_AB,C,3,2500,12,120,0.03256787499412894,0.8029211163520813,0.4791666666666667,0.21875,0.21875,0.5390625,0.6796875,0.224609375,bbf4dd21bc0059e40b4967eeafb0da0be9b4fa0c368c28b14baa143de0157278,6074a20c12cb1217a1c32a850f7176da105a99c2b4b14b964105e955a48efa0a,1162,1162,11176512,4648,,,0.47699999809265137,0.2409999966621399,1.6443825960159302,0.6851152181625366,0.12793292140122503,0.2409999966621399,2.58154559135437,0.9819942116737366,0.2902977571939118,0.531000018119812,1.3333429098129272,0.6057132482528687,0.06679049611557275,0.6589999794960022,1.0182592868804932,0.46763819456100464,0.02671051089419052
natural_model_lineage,scored_after_logit_hash,1,M_ACB,ACB,M_AC,B,3,2500,12,120,0.03381108306348324,1.2947039604187012,0.501953125,0.26171875,0.26171875,0.5859375,0.658203125,0.181640625,f86192b375ad6c8b1e4d115897f65a3605401dc359a7881f1173776060f00ab2,c23c41cfb5c333d25bf6c18ccf85d1aec637f1bc28d69841385defb146b350bb,1162,1162,11176512,4648,,,0.48633333047231037,0.28299999237060547,1.6117753982543945,0.6765221556027731,0.12597082526190206,0.28299999237060547,2.2967844009399414,0.9078072905540466,0.23439140524715185,0.5640000104904175,1.2687774896621704,0.572162389755249,0.051028752815909684,0.6119999885559082,1.2697643041610718,0.5495967864990234,0.09249231772264466
natural_model_lineage,scored_after_logit_hash,1,M_BAC,BAC,M_BA,C,3,2500,12,120,0.03236199985258281,0.8161806464195251,0.4889322916666667,0.236328125,0.236328125,0.54296875,0.6875,0.0390625,95c841045ff93ed1e355f034814dfe96cbf4b1d8ec6445bffa1e9ec06ca34627,6a6e3335b4189a8de1108595906b5a029585fb52879055232770894a08a5e415,1162,1162,11176512,4648,,,0.4879999856154124,0.257999986410141,1.5659799575805664,0.6663556893666586,0.10734091161672647,0.257999986410141,2.3579792976379395,0.933663010597229,0.23707799179828726,0.546999990940094,1.3223683834075928,0.5985155701637268,0.05454965279204771,0.6589999794960022,1.017592191696167,0.4668884873390198,0.030395090259844437
natural_model_lineage,scored_after_logit_hash,1,M_BCA,BCA,M_BC,A,3,2500,12,120,0.03193404199555516,1.5340936183929443,0.5032552083333334,0.44921875,0.44921875,0.505859375,0.5546875,0.076171875,64176fba54448c71c479bcaec5c3eb08f88b9823239d43e4e0739ba32573e0e5,0c2e295402b31fd757b26d1dedbcc2e20cd6911a73571cf958949117db2db350,1162,1162,11176512,4648,,,0.4910000065962474,0.4090000092983246,1.5774790048599243,0.667110542456309,0.10898756386692791,0.4090000092983246,1.6164103746414185,0.7106752395629883,0.03488774242578074,0.5220000147819519,1.5627769231796265,0.6510772705078125,0.11710993041924667,0.5419999957084656,1.553249716758728,0.6395791172981262,0.17496501875575632
natural_model_lineage,scored_after_logit_hash,1,M_CAB,CAB,M_CA,B,3,2500,12,120,0.03254870790988207,1.2949581146240234,0.5026041666666666,0.28125,0.28125,0.583984375,0.642578125,0.01953125,08062dd8a08abdd8290c4fcb204f47a683277e9ea403f1085de860901e45cf09,34775ef1e63dc4938f5a784748b9ec3cf335afb34982a675697f32d04d838a13,1162,1162,11176512,4648,,,0.4966666599114736,0.3070000112056732,1.570052703221639,0.6656973163286845,0.10598425815987866,0.3070000112056732,2.1591806411743164,0.8710820078849792,0.19065990368835628,0.5699999928474426,1.266668438911438,0.5711595416069031,0.03675332853163127,0.6129999756813049,1.2843090295791626,0.5548503994941711,0.09053954225964844
natural_model_lineage,scored_after_logit_hash,1,M_CBA,CBA,M_CB,A,3,2500,12,120,0.03215191583149135,1.5121163129806519,0.505859375,0.455078125,0.455078125,0.525390625,0.537109375,0.125,cb243d4aee30dc4d76c201b0a46f03195cd5a9f8f4a6b84020a2b0f123b7d128,296a26174377506f5163af55b4992c48a5380f47997cdb708920f7ab8d57d2f0,1162,1162,11176512,4648,,,0.4906666775544484,0.4180000126361847,1.5953771273295085,0.6716338992118835,0.11021360719072011,0.4180000126361847,1.6094834804534912,0.7101236581802368,0.02968713518930599,0.5260000228881836,1.5425052642822266,0.6470933556556702,0.11152991050039418,0.527999997138977,1.6341426372528076,0.6576846837997437,0.18942377588246018
natural_model_lineage,scored_after_logit_hash,2,M0,,,,0,0,0,0,0.0,,0.4654947916666667,0.232421875,0.232421875,0.548828125,0.615234375,,2b5ef80dfb6541bbd400e653c48c11bec5a569a83828bbd1317256f88a1c37b0,fe412234c6bba310fa2b4179abe115b0588c4f5eafdcea840c13c473f466fa7f,1162,1162,11176512,4648,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/shared_corpus_confirmatory/adapter_seed_2.pt,43649d45cf274fca14ad6745ec141aae51ab1823f094350517021354a9f12881,0.45933333535989124,0.24899999797344208,1.6496704816818237,0.700836976369222,0.11347359768478782,0.24899999797344208,2.4038503170013428,0.9562655091285706,0.25549887923989445,0.5180000066757202,1.3564878702163696,0.6179733276367188,0.04587875165452715,0.6110000014305115,1.1886732578277588,0.5282720923423767,0.03904316215994186
natural_model_lineage,scored_after_logit_hash,2,M_A,A,M0,A,1,2500,12,120,0.04853966599330306,1.5139979124069214,0.4895833333333333,0.435546875,0.435546875,0.49609375,0.537109375,0.0,c1b84644347e4e4344d3ef765fd0df8e518b180175f037253b8c41c0bb8ae079,d0e0923f7f5bca7750d4489d232ae45a7f3f0b463b35b76e2866cd02d980258b,1162,1162,11176512,4648,,,0.48233334223429364,0.4169999957084656,1.6111360390981038,0.6771548390388489,0.09764017538206342,0.4169999957084656,1.6223520040512085,0.7142751216888428,0.028081513446522877,0.5120000243186951,1.5546348094940186,0.6507037281990051,0.09089344961103052,0.5180000066757202,1.6564213037490845,0.6664856672286987,0.17394556308863685
