seed,layer,source,target,path_relation,method,selected,fit_residual,transport_validation_residual,transport_test_residual,condition_number,effective_rank,singular_value_spread,inverse_consistency,bootstrap_instability_mean,bootstrap_instability_ci_low,bootstrap_instability_ci_high
1,adapter,M_ABC,M_BAC,same_depth_closing,ridge_linear,True,0.11803744308543913,0.12356279043684822,0.1259501894553248,1057557570731.7522,4,1.0575575707315985,0.9683320396003512,0.016168412022017947,0.012214967557292258,0.021944275607833262
1,adapter,M_ABC,M_BAC,same_depth_closing,low_rank_residual,False,0.14693716688904063,0.14822102749142546,0.14924861334652292,176762024.4412324,60,1.0312871789893736,,,,
1,adapter,M_ABC,M_BAC,same_depth_closing,whitened_cca,False,0.11866092252431434,0.1240470503073631,0.12629503183734073,1.2765075331413818,64,0.23511418292086728,,,,
1,adapter,M_BAC,M_ABC,same_depth_closing,orthogonal_procrustes,False,0.13837850367893187,0.14158814477735449,0.14231039588104313,1.000000000000001,64,9.992007221626409e-16,,,,
1,adapter,M_BAC,M_ABC,same_depth_closing,ridge_linear,True,0.12371813976995111,0.12838727595796384,0.1319241556101713,205077058865.01053,4,1.1391913519549592,0.9683286846806014,0.017039945641369344,0.012890628409860102,0.023633841091013453
1,adapter,M_BAC,M_ABC,same_depth_closing,low_rank_residual,False,0.14390673263483353,0.1442279351828155,0.14636501221104972,176303769.3081976,60,1.0306366283034563,,,,
1,adapter,M_BAC,M_ABC,same_depth_closing,whitened_cca,False,0.12442584991690829,0.12917199512349847,0.13319012842223196,1.2765075331413887,64,0.25474855260451634,,,,
1,adapter,M_ABC,M_ACB,same_depth_closing,orthogonal_procrustes,False,0.3005103983860459,0.320950367340348,0.3164340076846444,1.0000000000000013,64,1.2212453270876722e-15,,,,
1,adapter,M_ABC,M_ACB,same_depth_closing,ridge_linear,True,0.294463634810486,0.31835548285904947,0.3106554236746994,75255131879.89821,4,1.0975260096378865,0.9688176985116117,0.043129425680995245,0.031155735108300914,0.06605012541153502
1,adapter,M_ABC,M_ACB,same_depth_closing,low_rank_residual,False,0.3070465433059486,0.32632814724929,0.3214574398125357,196193081.05804104,60,1.0190965512806414,,,,
1,adapter,M_ABC,M_ACB,same_depth_closing,whitened_cca,False,0.29848652977007867,0.3241754800089735,0.3141897644675898,1.1646039409744213,64,0.16007661484548208,,,,
1,adapter,M_ACB,M_ABC,same_depth_closing,orthogonal_procrustes,False,0.31146081563591993,0.32807890118397454,0.3309722259413448,1.0000000000000009,64,8.881784197001252e-16,,,,
1,adapter,M_ACB,M_ABC,same_depth_closing,ridge_linear,True,0.2965535131879331,0.3180860978117458,0.3137515543670519,47381850660.68172,4,0.9882966046388554,0.9688152560966311,0.044888139441610575,0.03276450122487756,0.06282136759371003
1,adapter,M_ACB,M_ABC,same_depth_closing,low_rank_residual,False,0.31881074308896395,0.3339928280229401,0.3370886124447395,196742904.82920155,60,1.0173040147139494,,,,
1,adapter,M_ACB,M_ABC,same_depth_closing,whitened_cca,False,0.3006855582570048,0.3222314068252229,0.31989619441192096,1.1646039409739195,64,0.14533637067253224,,,,
1,adapter,M_ACB,M_CAB,same_depth_closing,orthogonal_procrustes,False,0.09695248500234846,0.10584134578969889,0.10115141430442348,1.0000000000000013,64,1.2212453270876722e-15,,,,
1,adapter,M_ACB,M_CAB,same_depth_closing,ridge_linear,True,0.08977620799431198,0.09671268337624232,0.09515889894110399,12574060724.983496,4,1.0927662591464158,0.9682795991775518,0.012695279294917112,0.009272011315734772,0.018347709355547012
1,adapter,M_ACB,M_CAB,same_depth_closing,low_rank_residual,False,0.10952339866236376,0.1160080653098688,0.11309613777107037,173070969.97335675,60,1.0204302362535982,,,,
1,adapter,M_ACB,M_CAB,same_depth_closing,whitened_cca,False,0.0900300975760771,0.09709638419535811,0.09563809171227142,1.1485782243776965,64,0.14262202972326532,,,,
1,adapter,M_CAB,M_ACB,same_depth_closing,orthogonal_procrustes,False,0.09810973809861594,0.1075663153054057,0.10231039564116966,1.0000000000000016,64,1.5543122344752192e-15,,,,
1,adapter,M_CAB,M_ACB,same_depth_closing,ridge_linear,True,0.08913936979191404,0.09677267082426004,0.09466398541186424,9663757170.253878,4,1.0188931829210242,0.9682800099492481,0.012915650719264935,0.009380282455413957,0.01836530138130017
1,adapter,M_CAB,M_ACB,same_depth_closing,low_rank_residual,False,0.11167879586530857,0.11946735072698582,0.1153517574303698,174194120.98164394,60,1.0277059072502048,,,,
1,adapter,M_CAB,M_ACB,same_depth_closing,whitened_cca,False,0.08940264154068936,0.0969661781199903,0.094731951560743,1.1485782243776452,64,0.13476066227771377,,,,
1,adapter,M_BAC,M_BCA,same_depth_closing,orthogonal_procrustes,False,0.3782939951084588,0.40303934902186295,0.38351793953409485,1.0000000000000016,64,1.4432899320127035e-15,,,,
1,adapter,M_BAC,M_BCA,same_depth_closing,ridge_linear,True,0.346679288362051,0.3847666732457104,0.35328851299171743,28569839859.074116,4,1.406062068760089,0.9690499320533771,0.04636840875895201,0.03241226273797287,0.07392355138798826
1,adapter,M_BAC,M_BCA,same_depth_closing,low_rank_residual,False,0.3807914221419297,0.4063144786883779,0.3859105240300706,183316037.34452006,60,1.0832697827561912,,,,
1,adapter,M_BAC,M_BCA,same_depth_closing,whitened_cca,False,0.3533996862510873,0.39603174765212124,0.3589858570757012,1.6888341507114129,64,0.6083330804744638,,,,
1,adapter,M_BCA,M_BAC,same_depth_closing,orthogonal_procrustes,False,0.45150787305258355,0.4728466569567595,0.46131200505543013,1.0000000000000013,64,1.3322676295501878e-15,,,,
1,adapter,M_BCA,M_BAC,same_depth_closing,ridge_linear,True,0.34962133429983294,0.3846210709202038,0.356164970840945,21976113119.912678,4,1.0351159853907532,0.969164128943026,0.051000278878583154,0.039569782238730956,0.07161977349813861
1,adapter,M_BCA,M_BAC,same_depth_closing,low_rank_residual,False,0.46497420826004493,0.4856371559960917,0.47450977742685263,176381212.333899,60,1.0711127811390733,,,,
1,adapter,M_BCA,M_BAC,same_depth_closing,whitened_cca,False,0.35674136032043147,0.39238429059470986,0.3662588494207167,1.6888341507113918,64,0.46184995373834214,,,,
