setting_id,null,permutation,residual,observed_residual,threshold_95
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,43,0.1326106317756496,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,44,0.18878514326834533,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,45,0.12312489794262918,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,46,0.13445475532087697,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,47,0.27968059511238996,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,48,0.1772945978397071,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,49,0.168994670486594,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,50,0.12083240724074681,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,51,0.2223909388978401,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,52,0.10591600130099366,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,53,0.03817125427787561,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,54,0.13813135208819832,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,55,0.08851971386830934,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,56,0.13767276299384196,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,57,0.11182338901723846,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,58,0.8158741692869456,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,59,0.03817125427787561,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,60,0.1482854083334432,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,61,0.08979221294771991,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,62,0.09381148786567188,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,63,0.12185289906517734,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,64,0.052598341223405454,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,65,0.12249122039844909,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,66,0.16962408793893508,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,67,0.030434753275887107,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,68,0.11394519249184591,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,69,0.04171683700994712,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,70,0.11182338901723846,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,71,0.052310014879325274,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,72,0.06348020978196565,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,73,0.12869307181247097,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,74,0.08082525999732496,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,75,0.12981260545582946,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,76,0.1967581759271928,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,77,0.16631389101516109,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,78,0.34210025666154076,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,79,0.16186156626581166,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,80,0.11549648357579974,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,81,0.1391840855940155,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,82,0.12791020472425213,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,83,0.5628441172951604,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,84,0.1092825642771185,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,85,0.15214641244765378,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,86,0.06040353296556955,0.05888403541340326,0.4536661663861451
