phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
discovery,D4,32,1.0,16,structured_learned_router,0.11425,2.532888835117693,0.25146276158930503,72.0,0.008125090971589088
discovery,D4,32,1.0,16,supplied_context_structured_retransport,0.125,2.51023775229988,0.24053932564550795,0.0,0.008146045729517937
discovery,D4,32,1.0,16,twistedmerge_hodge_lr,0.125,2.51023775229988,0.24053932564550795,56.0,0.008146045729517937
discovery,D4,32,1.0,64,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008312985301017761
discovery,D4,32,1.0,64,generic_linear,0.12275,2.170563130761552,0.10028303477032725,328.0,0.008416478522121906
discovery,D4,32,1.0,64,generic_low_rank_context_adapter,0.13825,2.5218323389930464,0.23865797822722218,392.0,0.008333474397659302
discovery,D4,32,1.0,64,generic_mixture_of_experts,0.11833333333333333,2.0823875975045922,0.015885396861345612,72.0,0.008437549695372581
discovery,D4,32,1.0,64,generic_two_layer_mlp,0.11716666666666667,2.101242610180806,0.049224969155973096,792.0,0.008291448466479778
discovery,D4,32,1.0,64,learned_matrix_context_action,0.12766666666666665,2.7579174449018757,0.28545602872838705,520.0,0.008291564881801605
discovery,D4,32,1.0,64,shuffled_context_control,0.12258333333333334,2.5256383293264992,0.244093138210622,0.0,0.008312403224408627
discovery,D4,32,1.0,64,structured_learned_router,0.11058333333333334,2.5294328607313408,0.25496276158930503,72.0,0.008458388037979603
discovery,D4,32,1.0,64,supplied_context_structured_retransport,0.12225,2.5089132529192972,0.2433268747622818,0.0,0.008291448466479778
discovery,D4,32,1.0,64,twistedmerge_hodge_lr,0.12225,2.5089132529192972,0.2433268747622818,56.0,0.008479459211230278
discovery,D4,32,1.0,256,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008187023922801018
discovery,D4,32,1.0,256,generic_linear,0.12108333333333335,2.0934152535194728,0.03450622252847476,328.0,0.008291564881801605
discovery,D4,32,1.0,256,generic_low_rank_context_adapter,0.14450000000000002,2.322942768402158,0.1747848065062938,392.0,0.008416944183409214
discovery,D4,32,1.0,256,generic_mixture_of_experts,0.11875,2.0814831636095983,0.012341530042047681,72.0,0.008437549695372581
discovery,D4,32,1.0,256,generic_two_layer_mlp,0.12325,2.085194986986776,0.01994956718732275,792.0,0.008416594937443733
discovery,D4,32,1.0,256,learned_matrix_context_action,0.12033333333333333,2.2762945838888715,0.14676302258539217,520.0,0.008437433280050755
discovery,D4,32,1.0,256,shuffled_context_control,0.12491666666666665,2.5068342718533443,0.2406294282559717,0.0,0.008437549695372581
discovery,D4,32,1.0,256,structured_learned_router,0.10833333333333332,2.535947763927781,0.2571213970669759,72.0,0.008249538950622082
discovery,D4,32,1.0,256,supplied_context_structured_retransport,0.124,2.490885129881746,0.24164838599141367,0.0,0.008167000487446785
discovery,D4,32,1.0,256,twistedmerge_hodge_lr,0.124,2.490885129881746,0.24164838599141367,56.0,0.008207978680729866
discovery,D4,32,1.0,1024,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008437084034085274
discovery,D4,32,1.0,1024,generic_linear,0.11383333333333334,2.0849753257819277,0.026343940785024313,328.0,0.008437549695372581
discovery,D4,32,1.0,1024,generic_low_rank_context_adapter,0.14325,2.3034645674467025,0.16580717737368766,392.0,0.008583534508943558
discovery,D4,32,1.0,1024,generic_mixture_of_experts,0.11425,2.0810016518447605,0.015923439167163576,72.0,0.008521485142409801
