seed,epsilon,mode,location,max_absolute_activation_error,mean_absolute_activation_error
3,0.1,eval,layer2.1.after_residual,7.510185241699219e-06,7.323525323954527e-07
3,0.1,eval,layer3.0.after_residual,6.67572021484375e-06,5.33045124484488e-07
3,0.1,eval,layer3.1.after_residual,6.4373016357421875e-06,6.783702133361658e-07
3,0.1,eval,layer4.0.after_residual,3.814697265625e-06,3.61495750667018e-07
3,0.1,eval,layer4.1.after_residual,3.874301910400391e-06,3.710476619289693e-07
3,0.1,train,stem,0.0,0.0
3,0.1,train,layer1.0.after_residual,6.794929504394531e-06,7.895642966104788e-07
3,0.1,train,layer1.1.after_residual,1.0728836059570312e-05,1.2562488791445503e-06
3,0.1,train,layer2.0.after_residual,1.2218952178955078e-05,1.0293135801475728e-06
3,0.1,train,layer2.1.after_residual,1.919269561767578e-05,1.7458614820498042e-06
3,0.1,train,layer3.0.after_residual,2.002716064453125e-05,1.7113723060901975e-06
3,0.1,train,layer3.1.after_residual,2.562999725341797e-05,2.7286369004286826e-06
3,0.1,train,layer4.0.after_residual,2.753734588623047e-05,2.4001565179787576e-06
3,0.1,train,layer4.1.after_residual,3.135204315185547e-05,3.3112660275946837e-06
4,1e-05,eval,stem,0.0,0.0
4,1e-05,eval,layer1.0.after_residual,5.7220458984375e-06,5.129320470587118e-07
4,1e-05,eval,layer1.1.after_residual,9.059906005859375e-06,7.902868333076185e-07
4,1e-05,eval,layer2.0.after_residual,1.1086463928222656e-05,6.808398893554113e-07
4,1e-05,eval,layer2.1.after_residual,1.1920928955078125e-05,1.0774722341011511e-06
4,1e-05,eval,layer3.0.after_residual,8.58306884765625e-06,7.917985271888028e-07
4,1e-05,eval,layer3.1.after_residual,9.655952453613281e-06,1.006142724691017e-06
4,1e-05,eval,layer4.0.after_residual,5.4836273193359375e-06,5.113463430461707e-07
4,1e-05,eval,layer4.1.after_residual,5.602836608886719e-06,5.265590630187944e-07
4,1e-05,train,stem,0.0,0.0
4,1e-05,train,layer1.0.after_residual,6.9141387939453125e-06,9.180469078273745e-07
4,1e-05,train,layer1.1.after_residual,1.1682510375976562e-05,1.4037188975635218e-06
4,1e-05,train,layer2.0.after_residual,1.621246337890625e-05,1.0044607279269258e-06
4,1e-05,train,layer2.1.after_residual,1.8835067749023438e-05,1.7190865264637978e-06
4,1e-05,train,layer3.0.after_residual,2.3365020751953125e-05,1.7934737570612924e-06
4,1e-05,train,layer3.1.after_residual,2.8014183044433594e-05,2.9484187962225405e-06
4,1e-05,train,layer4.0.after_residual,0.000156402587890625,5.745508133259136e-06
4,1e-05,train,layer4.1.after_residual,0.0006215572357177734,2.034179851762019e-05
4,0.001,eval,stem,0.0,0.0
4,0.001,eval,layer1.0.after_residual,5.364418029785156e-06,5.060807666268374e-07
4,0.001,eval,layer1.1.after_residual,9.059906005859375e-06,7.904162657723646e-07
4,0.001,eval,layer2.0.after_residual,1.0013580322265625e-05,6.799206744290132e-07
4,0.001,eval,layer2.1.after_residual,1.430511474609375e-05,1.0915963457591715e-06
4,0.001,eval,layer3.0.after_residual,9.775161743164062e-06,8.060868026404933e-07
4,0.001,eval,layer3.1.after_residual,1.0669231414794922e-05,1.019564592752431e-06
4,0.001,eval,layer4.0.after_residual,5.036592483520508e-06,5.357011332307593e-07
4,0.001,eval,layer4.1.after_residual,5.0067901611328125e-06,5.503900410985807e-07
4,0.001,train,stem,0.0,0.0
4,0.001,train,layer1.0.after_residual,7.867813110351562e-06,9.280998938265839e-07
4,0.001,train,layer1.1.after_residual,1.1444091796875e-05,1.4255476799007738e-06
4,0.001,train,layer2.0.after_residual,1.2248754501342773e-05,1.0260359886160586e-06
4,0.001,train,layer2.1.after_residual,1.621246337890625e-05,1.7457489320804598e-06
4,0.001,train,layer3.0.after_residual,2.1159648895263672e-05,1.8415059912513243e-06
4,0.001,train,layer3.1.after_residual,2.9325485229492188e-05,2.9531147447414696e-06
4,0.001,train,layer4.0.after_residual,9.775161743164062e-05,4.934477146889549e-06
4,0.001,train,layer4.1.after_residual,0.00023126602172851562,1.1999631169601344e-05
4,0.1,eval,stem,0.0,0.0
4,0.1,eval,layer1.0.after_residual,3.3974647521972656e-06,3.625029876275221e-07
4,0.1,eval,layer1.1.after_residual,4.947185516357422e-06,5.363194759411272e-07
4,0.1,eval,layer2.0.after_residual,6.9141387939453125e-06,4.3023783291573636e-07
4,0.1,eval,layer2.1.after_residual,7.152557373046875e-06,6.555744676006725e-07
4,0.1,eval,layer3.0.after_residual,5.7220458984375e-06,4.4852768610326166e-07
4,0.1,eval,layer3.1.after_residual,6.079673767089844e-06,5.611184406006942e-07
4,0.1,eval,layer4.0.after_residual,2.652406692504883e-06,2.7658404633257305e-07
4,0.1,eval,layer4.1.after_residual,2.7120113372802734e-06,2.8494247317212285e-07
4,0.1,train,stem,0.0,0.0
4,0.1,train,layer1.0.after_residual,7.152557373046875e-06,7.676454742977512e-07
4,0.1,train,layer1.1.after_residual,1.049041748046875e-05,1.2179849591120728e-06
4,0.1,train,layer2.0.after_residual,1.2278556823730469e-05,9.855250482360134e-07
4,0.1,train,layer2.1.after_residual,1.9669532775878906e-05,1.666033199398953e-06
4,0.1,train,layer3.0.after_residual,1.9490718841552734e-05,1.6406472695962293e-06
4,0.1,train,layer3.1.after_residual,2.3245811462402344e-05,2.566448074503569e-06
4,0.1,train,layer4.0.after_residual,3.063678741455078e-05,2.325651621504221e-06
4,0.1,train,layer4.1.after_residual,3.311038017272949e-05,3.1905574360280298e-06
