seed,order_family,loop_id,left_node,right_node,left_mean_accuracy,right_mean_accuracy,absolute_mean_accuracy_delta,absolute_worst_accuracy_delta,left_first_task_forgetting,right_first_task_forgetting,absolute_forgetting_delta,prediction_disagreement,feature_discrepancy,absolute_ece_delta,parameter_distance,pairwise_transport_residual,inverse_consistency,loop_identity_distance,loop_spectral_radius,loop_singular_spread,loop_commutator_max,loop_stable_nonidentity,order_sensitivity_score
1,ABC_vs_BAC,1:swap_ABC_BAC,M_ABC,M_BAC,0.4769999980926513,0.4879999856154124,0.010999987522761,0.0169999897480011,0.1700000166893005,0.0180000066757202,0.1520000100135803,0.0896666646003723,0.0966131314635276,0.0205920097844985,0.1519599261926004,1.471155549718089e-07,1.1717423069830372e-14,3.5429780374127624e-14,1.0000000000000089,1.5554224574998446e-13,9.531561595923069e-15,False,0.0625021136209278
1,ABC_vs_ACB,1:swap_ABC_ACB,M_ABC,M_ACB,0.4769999980926513,0.4863333304723103,0.0093333323796589,0.0419999957084655,0.1700000166893005,0.1280000209808349,0.0419999957084655,0.2800000011920929,0.1981177628040313,0.0019620961393229,0.2171907139711137,1.4898928418564348e-07,1.0723698524367958e-14,3.2497121514663837e-14,1.0000000000000109,1.2367884494324244e-13,9.551112855780551e-15,False,0.0731556562741843
1,ACB_vs_CAB,1:swap_ACB_CAB,M_ACB,M_CAB,0.4863333304723103,0.4966666599114736,0.0103333294391632,0.0240000188350677,0.1280000209808349,0.0450000166893005,0.0830000042915344,0.0590000003576278,0.0862961933016777,0.0199865671020234,0.1301382987400291,1.479324244835216e-07,1.1073466621652715e-14,3.2251652578146174e-14,1.0000000000000064,1.0647038806155252e-13,9.417257638845266e-15,False,0.0451010348115887
1,BAC_vs_BCA,1:swap_BAC_BCA,M_BAC,M_BCA,0.4879999856154124,0.4910000065962474,0.0030000209808349,0.1510000228881836,0.0180000066757202,0.0429999828338623,0.024999976158142,0.4413333237171173,0.2602600753307342,0.0016466522502014,0.2749113698782375,1.596857234475022e-07,1.1371583609454866e-14,3.291843933932424e-14,1.0000000000000089,1.397770788003072e-13,9.447840693116023e-15,False,0.1117485575119001
1,BCA_vs_CBA,1:swap_BCA_CBA,M_BCA,M_CBA,0.4910000065962474,0.4906666775544484,0.0003333290417989,0.0090000033378601,0.0429999828338623,0.1299999952316284,0.0870000123977661,0.1173333302140235,0.1058589816093444,0.0012260433237921,0.157267458155074,1.5755373933172033e-07,1.1569393750601436e-14,3.483469415952253e-14,1.000000000000007,1.3800072196090698e-13,9.239571958861341e-15,False,0.0474619698607865
1,CAB_vs_CBA,1:swap_CAB_CBA,M_CAB,M_CBA,0.4966666599114736,0.4906666775544484,0.0059999823570251,0.1110000014305114,0.0450000166893005,0.1299999952316284,0.0849999785423278,0.3733333349227905,0.2336747646331787,0.0042293490308414,0.260262468714392,1.5760259169926105e-07,1.1847653767937467e-14,3.4998034192601384e-14,1.0000000000000095,1.199040866595169e-13,9.497474392499226e-15,False,0.1078118753360654
2,AB_vs_BA,2:AB_square,M_AB,M_BA,0.4903333485126495,0.4929999808470408,0.0026666323343912,0.1069999933242797,0.1049999892711639,0.0280000567436218,0.0769999325275421,0.3613333404064178,0.2324014157056808,0.0137349945798632,0.2639418347654885,1.517626761556152e-07,1.1867720734439868e-14,2.2758104165157468e-14,1.0000000000000089,8.348877145181177e-14,9.798124098726212e-15,False,0.1037188832520808
2,AC_vs_CA,2:AC_square,M_AC,M_CA,0.4856666525204976,0.5006666680177053,0.0150000154972076,0.1730000078678131,0.1660000085830688,0.106000006198883,0.0600000023841857,0.4206666648387909,0.2589509189128876,0.0264718794302704,0.2830994159904628,1.5076751595697158e-07,1.2132554965333075e-14,2.0900736201778365e-14,1.0000000000000064,7.371880883511041e-14,9.891234834505844e-15,False,0.1260909112292522
2,BC_vs_CB,2:BC_square,M_BC,M_CB,0.4756666620572408,0.4803333183129628,0.004666656255722,0.0399999916553497,0.0200000405311584,0.0520000457763671,0.0320000052452087,0.2663333415985107,0.1795044541358947,0.0016180797077443,0.2073153657229511,1.456155197081311e-07,1.2910545784685326e-14,2.0541119002767987e-14,1.0000000000000062,6.084022174945859e-14,9.493248162720748e-15,False,0.0663186674214924
2,ABC_vs_BAC,2:swap_ABC_BAC,M_ABC,M_BAC,0.4773333420356114,0.4860000014305115,0.0086666593949,0.0150000005960464,0.181999996304512,0.0110000371932983,0.1709999591112136,0.0936666652560234,0.0912708491086959,0.0079697024860555,0.1426413157486415,1.45265620134144e-07,1.1590756041457928e-14,2.94593313879856e-14,1.00000000000001,9.447997939560083e-14,9.891234834505844e-15,False,0.0641705987117779
2,ABC_vs_ACB,2:swap_ABC_ACB,M_ABC,M_ACB,0.4773333420356114,0.4820000131924947,0.0046666711568832,0.0479999929666519,0.181999996304512,0.1340000033378601,0.0479999929666519,0.2736666798591614,0.1923033893108368,0.003117106717885,0.2177997608756053,1.4874220951255738e-07,1.1796471238521247e-14,2.8257756725786472e-14,1.0000000000000069,9.714451465470121e-14,9.753167016394804e-15,False,0.0731935984296398
2,ACB_vs_CAB,2:swap_ACB_CAB,M_ACB,M_CAB,0.4820000131924947,0.4919999937216441,0.0099999805291494,0.0290000140666961,0.1340000033378601,0.0610000491142272,0.0729999542236328,0.0553333349525928,0.0826746970415115,0.0151723737459785,0.1364710280354419,1.4710806230297165e-07,1.2221933357995816e-14,2.8704342886246315e-14,1.000000000000008,1.071365218763276e-13,9.748571710736624e-15,False,0.0433322508750654
