draw,family,cycle_residual
64,edge_shuffle,1.41055166721344
64,matched_norm_coboundary,4.624125729249519e-16
64,matched_fit_random_gauge,1.1859162321969101
64,graph_topology_shuffle,1.3860771307079396
64,activation_bootstrap,1.1399104595184326
65,edge_shuffle,1.4214595556259155
65,matched_norm_coboundary,5.218107734106198e-16
65,matched_fit_random_gauge,1.221222082536594
65,graph_topology_shuffle,1.4419563506595514
65,activation_bootstrap,1.4248045682907104
66,edge_shuffle,1.4185959100723267
66,matched_norm_coboundary,6.171784152703609e-16
66,matched_fit_random_gauge,1.1854806915727343
66,graph_topology_shuffle,1.4048610130283674
66,activation_bootstrap,1.0214120149612427
67,edge_shuffle,1.41055166721344
67,matched_norm_coboundary,4.849842221885709e-16
67,matched_fit_random_gauge,1.2142390827342457
67,graph_topology_shuffle,1.4183280759036676
67,activation_bootstrap,1.0972692966461182
68,edge_shuffle,1.41055166721344
68,matched_norm_coboundary,5.820883461036803e-16
68,matched_fit_random_gauge,1.2190434947103836
68,graph_topology_shuffle,1.3986082619837354
68,activation_bootstrap,1.1682863235473633
69,edge_shuffle,1.2955248355865479
69,matched_norm_coboundary,6.646500155759847e-16
69,matched_fit_random_gauge,1.2099936659832717
69,graph_topology_shuffle,1.3733395011709177
69,activation_bootstrap,1.097261905670166
70,edge_shuffle,1.3847516775131226
70,matched_norm_coboundary,5.868169014965416e-16
70,matched_fit_random_gauge,1.2055481401845263
70,graph_topology_shuffle,1.4648363755730336
70,activation_bootstrap,1.2380017042160034
71,edge_shuffle,1.41055166721344
71,matched_norm_coboundary,4.691343591195903e-16
71,matched_fit_random_gauge,1.2017708598357633
71,graph_topology_shuffle,1.5046716513398122
71,activation_bootstrap,1.1078139543533325
72,edge_shuffle,1.4214595556259155
72,matched_norm_coboundary,7.404087840237275e-16
72,matched_fit_random_gauge,1.2158625863312602
72,graph_topology_shuffle,1.440271869840433
72,activation_bootstrap,1.1537952423095703
73,edge_shuffle,1.41055166721344
73,matched_norm_coboundary,4.574870239458405e-16
73,matched_fit_random_gauge,1.1937337512401747
73,graph_topology_shuffle,1.4072416696837315
73,activation_bootstrap,1.1333054304122925
74,edge_shuffle,1.2955248355865479
74,matched_norm_coboundary,6.364508707830293e-16
74,matched_fit_random_gauge,1.1917960482734993
74,graph_topology_shuffle,1.416262630859338
74,activation_bootstrap,1.2485235929489136
75,edge_shuffle,1.4188048839569092
75,matched_norm_coboundary,4.935621731985048e-16
75,matched_fit_random_gauge,1.169997189155474
75,graph_topology_shuffle,1.3735939269600284
75,activation_bootstrap,1.2344118356704712
76,edge_shuffle,1.2955248355865479
76,matched_norm_coboundary,4.653707357660873e-16
76,matched_fit_random_gauge,1.2104543347000847
76,graph_topology_shuffle,1.3738544784686741
76,activation_bootstrap,1.2667280435562134
