mask,chart,method,exact_equal,iou,dice,boundary_dice,hausdorff
arrow,6,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,6,omit_output_retransport,0.0,0.4084033613495093,0.5799522673056089,0.0,7.0
arrow,6,inverse_output_action,1.0,1.0,1.0,1.0,0.0
arrow,6,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
arrow,6,random_chart,0.0,0.29821843532689224,0.4594272076404569,0.0,13.40439751431988
arrow,6,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,7,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,7,omit_output_retransport,0.0,0.17779339424330434,0.3019093078800602,0.0,16.630865786510117
arrow,7,inverse_output_action,1.0,1.0,1.0,1.0,0.0
arrow,7,wrong_reflection_rotation_order,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
arrow,7,random_chart,0.0,0.29821843532689224,0.4594272076404569,0.0,13.40439751431988
arrow,7,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
symbol,0,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,0,omit_output_retransport,1.0,1.0,1.0,1.0,0.0
symbol,0,inverse_output_action,1.0,1.0,1.0,1.0,0.0
symbol,0,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
symbol,0,random_chart,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,0,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,1,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,1,omit_output_retransport,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,1,inverse_output_action,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,1,wrong_reflection_rotation_order,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,1,random_chart,0.0,0.44134078213851,0.6124031007827053,0.0,7.0
symbol,1,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,2,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,2,omit_output_retransport,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,2,inverse_output_action,1.0,1.0,1.0,1.0,0.0
symbol,2,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
symbol,2,random_chart,0.0,0.44134078213851,0.6124031007827053,0.0,7.0
symbol,2,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,3,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,3,omit_output_retransport,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,3,inverse_output_action,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,3,wrong_reflection_rotation_order,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,3,random_chart,0.0,0.44134078213851,0.6124031007827053,0.0,7.0
symbol,3,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,4,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,4,omit_output_retransport,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,35.22782990761707
symbol,4,inverse_output_action,1.0,1.0,1.0,1.0,0.0
symbol,4,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
symbol,4,random_chart,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,4,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,5,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,5,omit_output_retransport,0.0,0.3507853403311313,0.5193798449705547,0.0,6.082762530298219
symbol,5,inverse_output_action,1.0,1.0,1.0,1.0,0.0
symbol,5,wrong_reflection_rotation_order,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,5,random_chart,0.0,0.3507853403311313,0.5193798449705547,0.0,6.082762530298219
symbol,5,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,6,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,6,omit_output_retransport,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,32.0
symbol,6,inverse_output_action,1.0,1.0,1.0,1.0,0.0
symbol,6,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
symbol,6,random_chart,0.0,0.3507853403311313,0.5193798449705547,0.0,6.082762530298219
symbol,6,wrong_multiplication_table,0.0,1.937984496086473e-11,1.937984496086473e-11,0.0,33.5506916901495
symbol,7,correct_retransport,1.0,1.0,1.0,1.0,0.0
symbol,7,omit_output_retransport,0.0,0.44134078213851,0.6124031007827053,0.0,7.0
symbol,7,inverse_output_action,1.0,1.0,1.0,1.0,0.0
symbol,7,wrong_reflection_rotation_order,0.0,0.2964824120779778,0.4573643410957875,0.0,5.0
symbol,7,random_chart,0.0,0.3507853403311313,0.5193798449705547,0.0,6.082762530298219
