setting_id,group,seed,method,target_storage_reduction,teacher_executable_bytes,student_dense_tensor_bytes,student_sparse_serialized_bytes,student_quantized_serialized_bytes,student_executable_model_bytes,actual_storage_reduction,teacher_accuracy,student_accuracy,accuracy_delta,retained_teacher_gain_fraction,storage_claim_passed,teacher_artifact_sha256,student_artifact_sha256,execution_commit,source_sha256,command
S3_seed0,S3,0,pruned_structured_student,0.25,2519,2720,11168,,11168,-3.4335053592695512,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,4e6bab63c10fc930419740a1c930a2fa2736797a8b4958ec36c88d3623b82fd3,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,ordinary_single_model_control,0.25,2519,2720,,,4392,-0.7435490273918222,1.0,0.970703125,-0.029296875,-2.75,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,5102255d5cf8f4dcb3c387c0b49d5d100c847a6ddfba97ad6863c066e86b965c,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,chart_token_student,0.25,2519,3104,,,4755,-0.8876538308852719,1.0,0.994140625,-0.005859375,0.25,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,0b592a512f1c5c3db715e7dbfa2301f25861da4090b4fac0256a32aade73297a,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,shared_canonical_backbone_group_head,0.25,2519,2720,,,4394,-0.7443429932512902,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,dc45702e285fc1b429cd9e4e0a7f5fd2e81a7aa775567b2e67588183d6e3aca1,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,low_rank_group_generators,0.25,2519,2720,,,4394,-0.7443429932512902,1.0,0.908203125,-0.091796875,-10.75,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,2fd0ab4d0129bc42a87cdc53ec1a7c8abc53c6ecc66ad3deb02384736af98719,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,finite_state_chart_module,0.25,2519,2720,,,4393,-0.7439460103215563,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,e73a6322ddcd9996f6134452f82df8e75c311c6ce56e949df0a15d3541a66ff4,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,tensor_factorized_equivariant_head,0.25,2519,2720,,,4393,-0.7439460103215563,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,fc59223f1e5e7f9d380868e43e008df568b20d8c73f3a6a9251bb2810306ea74,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,quantized_structured_student,0.25,2519,2720,,6040,6040,-1.3977768955934895,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,802c22fcea6cea4dbaf699d1c498e1b3f0cee7f56e912f86c4ea6772b0cde69c,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,pruned_structured_student,0.25,2519,2720,11163,,11163,-3.4315204446208813,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,89b9d95a8ae0affbb070c3e6b0f09357fc0bcd0895a0b1bd187bb10209f84302,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,ordinary_single_model_control,0.25,2519,2720,,,4395,-0.7447399761810243,1.0,0.919921875,-0.080078125,-9.25,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,9c9a246c6e41a2d0bc4de0ea0ddb4456dc3221245d6df5bda574b47c693cb034,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,chart_token_student,0.5,2519,2624,,,4287,-0.7018658197697498,1.0,0.966796875,-0.033203125,-3.25,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,4d67ccf7242dd01a6a9f844b8142fea2e7a205809d0a4cdf03c1466fee2ed43d,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,shared_canonical_backbone_group_head,0.5,2519,2368,,,4032,-0.6006351726875745,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,e9e5a50df1c43caf8f7ce809db145e9274cc74bef9b1e12ed1aa8d1537fc4975,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,low_rank_group_generators,0.5,2519,2368,,,4039,-0.6034140531957126,1.0,0.896484375,-0.103515625,-12.25,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,0d6359800835920644cc8a23c646aa8d3512dc21a3868d68f961416189bb6cec,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,finite_state_chart_module,0.5,2519,2368,,,4036,-0.6022231044065105,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,a99f2c2ce8ec64e58735de4cf22be142ad50da9e0726929203f1f8215b00de72,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,tensor_factorized_equivariant_head,0.5,2519,2368,,,4039,-0.6034140531957126,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,190ff2ae037e2c0fef5ac724354177141833211bf4341b90cd492cddc47d8b92,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,quantized_structured_student,0.5,2519,2368,,5946,5946,-1.3604605001984913,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,45679ce423335bd6d592d36a9f1759cf1f0e493157fdd70795e379c7a1080179,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,pruned_structured_student,0.5,2519,2368,10630,,10630,-3.2199285430726476,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,4bdc42bcf1275caea4787252bbc5c078ba1f30c81022eeff3e324a45dbb06d43,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
