denoising_method,d,k,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,lift_rate,false_lift_rate,period_divisible_index_obstructed_rejection_rate,mean_learned_operator_error_raw,mean_learned_operator_error_denoised,mean_pair_reconstruction_residual_raw,mean_pair_reconstruction_residual_denoised,mean_global_sync_residual,mean_unitary_projection_residual
nearest_unitary_projection,3,2,0.0,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.449294274397756e-11,2.2832450817519112e-15,9.212474316273447e-11,2.3069980085490708e-15,,9.44937585863227e-11
nearest_unitary_projection,3,2,0.0,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.449294274397756e-11,2.2832450817519112e-15,9.212474316273447e-11,2.3069980085490708e-15,,9.44937585863227e-11
nearest_unitary_projection,3,2,0.0,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.449294274397756e-11,2.2832450817519112e-15,9.212474316273447e-11,2.3069980085490708e-15,,9.44937585863227e-11
nearest_unitary_projection,3,2,0.0001,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.116013021200186e-05,2.825255842634802e-05,0.00042675271674061474,0.0004257780156457087,,2.9887636757156965e-05
nearest_unitary_projection,3,2,0.0001,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.116013021200186e-05,2.825255842634802e-05,0.00042675271674061474,0.0004257780156457087,,2.9887636757156965e-05
nearest_unitary_projection,3,2,0.0001,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.116013021200186e-05,2.825255842634802e-05,0.00042675271674061474,0.0004257780156457087,,2.9887636757156965e-05
nearest_unitary_projection,3,2,0.0003,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00012348201777230303,8.475654775897852e-05,0.001280256495797148,0.0012773340880920686,,8.966611905715482e-05
nearest_unitary_projection,3,2,0.0003,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00012348201777230303,8.475654775897852e-05,0.001280256495797148,0.0012773340880920686,,8.966611905715482e-05
nearest_unitary_projection,3,2,0.0003,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00012348201777230303,8.475654775897852e-05,0.001280256495797148,0.0012773340880920686,,8.966611905715482e-05
nearest_unitary_projection,3,2,0.001,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.00028250907991401054,0.0042674840012310745,0.004257768729043336,,0.0002990154676334589
