summary_type,family,width,method,comparison,n_rows,n_unique_seeds,mean_test_accuracy,test_accuracy_ci_low,test_accuracy_ci_high,mean_test_loss,mean_delta,delta_ci_low,delta_ci_high,claim_status
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_validation_selected_branch_ensemble,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_c2m3_cluster_branch_ensemble,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_wrong_twist_control,30,30,,,,,1.0,1.0,1.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_wrong_context_control,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_learned_context_router,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_distilled_twisted_single_model,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_parameter_matched_wide_control,30,30,,,,,0.018666666666666686,0.013474791666666666,0.02433354166666669,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_no_twist_branch_control,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,c2m3_synchronized,c2m3_synchronized_vs_ordinary_weight_average,30,30,,,,,0.500025,0.49674979166666666,0.5034833333333333,supported_coboundary_sync
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_ordinary_weight_average,30,30,,,,,0.5007166666666667,0.4968247916666666,0.5047085416666668,descriptive
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_c2m3_synchronized,30,30,,,,,0.25,0.25,0.25,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_random_branch_ensemble,30,30,,,,,0.45,0.36666666666666664,0.5333333333333333,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_validation_selected_branch_ensemble,30,30,,,,,0.25,0.25,0.25,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_c2m3_cluster_branch_ensemble,30,30,,,,,0.25,0.25,0.25,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_wrong_twist_control,30,30,,,,,0.5,0.5,0.5,supported_q2_beats_wrong_control
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_wrong_context_control,30,30,,,,,0.5,0.5,0.5,supported_q2_beats_wrong_control
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_learned_context_router,30,30,,,,,0.0,0.0,0.0,learned_router_matches_supplied_context
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_distilled_twisted_single_model,30,30,,,,,0.25,0.25,0.25,distillation_failed_branch_remains_extra_capacity
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_parameter_matched_wide_control,30,30,,,,,0.2627166666666667,0.25946645833333337,0.266075,supported_not_explained_by_parameter_matched_wide
paired_delta,mu2_nontrivial_h2,32,twisted_q2_branch,twisted_q2_branch_vs_no_twist_branch_control,30,30,,,,,0.25,0.25,0.25,supported_q2_beats_no_twist_branch
paired_delta,mu2_nontrivial_h2,32,c2m3_synchronized,c2m3_synchronized_vs_ordinary_weight_average,30,30,,,,,0.25071666666666664,0.246825,0.25473333333333337,descriptive
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_ordinary_weight_average,30,30,,,,,0.5001666666666666,0.497275,0.5030083333333332,descriptive
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_c2m3_synchronized,30,30,,,,,0.25,0.25,0.25,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_random_branch_ensemble,30,30,,,,,0.48333333333333334,0.4,0.5666666666666667,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_validation_selected_branch_ensemble,30,30,,,,,0.25,0.25,0.25,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_c2m3_cluster_branch_ensemble,30,30,,,,,0.25,0.25,0.25,supported_controlled_rank_lift
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_wrong_twist_control,30,30,,,,,0.5,0.5,0.5,supported_q2_beats_wrong_control
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_wrong_context_control,30,30,,,,,0.5,0.5,0.5,supported_q2_beats_wrong_control
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_learned_context_router,30,30,,,,,0.0,0.0,0.0,learned_router_matches_supplied_context
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_distilled_twisted_single_model,30,30,,,,,0.25,0.25,0.25,distillation_failed_branch_remains_extra_capacity
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_parameter_matched_wide_control,30,30,,,,,0.26065,0.2579833333333334,0.26335000000000003,supported_not_explained_by_parameter_matched_wide
paired_delta,mu2_nontrivial_h2,64,twisted_q2_branch,twisted_q2_branch_vs_no_twist_branch_control,30,30,,,,,0.25,0.25,0.25,supported_q2_beats_no_twist_branch
paired_delta,mu2_nontrivial_h2,64,c2m3_synchronized,c2m3_synchronized_vs_ordinary_weight_average,30,30,,,,,0.2501666666666667,0.24723291666666666,0.25292500000000007,descriptive
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_ordinary_weight_average,30,30,,,,,0.5015583333333333,0.49873249999999997,0.5044249999999999,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_c2m3_synchronized,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_random_branch_ensemble,30,30,,,,,0.4,0.23333333333333334,0.5666666666666667,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_validation_selected_branch_ensemble,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_c2m3_cluster_branch_ensemble,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_wrong_twist_control,30,30,,,,,1.0,1.0,1.0,noncentral_control_not_promoted
