run_id,group_name,family,seed,hidden_width,input_dim,n_train,n_val,n_test,group_order,group_exponent,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,method,validation_accuracy,test_accuracy,validation_loss,test_loss,selected_by_validation,selector_no_test_leakage,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_unlifted,capacity_matched_to_random_branch_control,is_single_model,is_extra_capacity,selector_method,selected_method,selected_branch_lift,best_fallback_method,best_fallback_val_accuracy,best_fallback_val_loss,selector_epsilon,selector_loss_slack
S3_trivial_coboundary_W12_seed31,S3,trivial_coboundary,31,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.969,0.9585,0.12333090858510812,0.1649274093240392,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.969,0.12333090858510812,0.0,0.0
S3_trivial_coboundary_W12_seed32,S3,trivial_coboundary,32,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.966,0.9685,0.13619265752660248,0.12773438250507518,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.966,0.13619265752660248,0.0,0.0
S3_trivial_coboundary_W12_seed33,S3,trivial_coboundary,33,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.979,0.961,0.08752192645851935,0.15568234369402503,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.979,0.08752192645851935,0.0,0.0
S3_trivial_coboundary_W12_seed34,S3,trivial_coboundary,34,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.965,0.973,0.1402337481223623,0.10954726169985363,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.965,0.1402337481223623,0.0,0.0
S3_trivial_coboundary_W12_seed35,S3,trivial_coboundary,35,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.964,0.9775,0.1446799761247753,0.0929538921634495,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.964,0.1446799761247753,0.0,0.0
S3_trivial_coboundary_W12_seed36,S3,trivial_coboundary,36,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.962,0.9615,0.15216846051885377,0.15253977614738531,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.962,0.15216846051885377,0.0,0.0
S3_trivial_coboundary_W12_seed37,S3,trivial_coboundary,37,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.978,0.96,0.09146263282092473,0.15871274665901797,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.978,0.09146263282092473,0.0,0.0
S3_trivial_coboundary_W12_seed38,S3,trivial_coboundary,38,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.958,0.9665,0.16672585896596667,0.13495851380130472,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.958,0.16672585896596667,0.0,0.0
S3_trivial_coboundary_W12_seed39,S3,trivial_coboundary,39,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.978,0.9605,0.09041120998149302,0.15680443795060464,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.978,0.09041120998149302,0.0,0.0
S3_trivial_coboundary_W12_seed40,S3,trivial_coboundary,40,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.968,0.959,0.1292417624814352,0.16212265976100648,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.968,0.1292417624814352,0.0,0.0
S3_trivial_coboundary_W12_seed41,S3,trivial_coboundary,41,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.979,0.9585,0.08817144769679916,0.1651187676921919,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.979,0.08817144769679916,0.0,0.0
S3_trivial_coboundary_W12_seed42,S3,trivial_coboundary,42,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.973,0.962,0.11066450709905268,0.15178169466021654,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.973,0.11066450709905268,0.0,0.0
S3_trivial_coboundary_W12_seed43,S3,trivial_coboundary,43,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.961,0.977,0.15341731002730366,0.09534061174275157,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.961,0.15341731002730366,0.0,0.0
S3_trivial_coboundary_W12_seed44,S3,trivial_coboundary,44,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.968,0.9665,0.12839196770457717,0.13399196070839942,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.968,0.12839196770457717,0.0,0.0
S3_trivial_coboundary_W12_seed45,S3,trivial_coboundary,45,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.972,0.968,0.11285238186758167,0.13035809089750347,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.972,0.11285238186758167,0.0,0.0
S3_trivial_coboundary_W12_seed46,S3,trivial_coboundary,46,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.976,0.962,0.09956601942936218,0.15191238154279813,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.976,0.09956601942936218,0.0,0.0
S3_trivial_coboundary_W12_seed47,S3,trivial_coboundary,47,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.973,0.965,0.11215506050549216,0.1408334767815324,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.973,0.11215506050549216,0.0,0.0
