run_id,setting_id,dataset,architecture,n_models,width,domain_shift,seed,matching,alignment_variant,alignment_source,alignment_noise,cycle_score_layer,independent_model_draw,single_best_accuracy,mean_individual_accuracy,cycle_score,sync_disagreement,sync_reference,baseline,loss,accuracy,merge_degradation,is_single_model,capacity_matched_to_weight_average,method_note,soup_indices,rank_lift_branches
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.931,0.9303333333333335,0.9437293044088437,0.3077256944444444,"hidden1:0,hidden2:1",c2m3_cycle_consistent,0.4572021903991699,0.903,0.028000000000000025,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.931,0.9303333333333335,0.9437293044088437,0.3077256944444444,"hidden1:0,hidden2:1",twisted_rank_lift_2,0.23276671600341797,0.937,-0.006000000000000005,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.931,0.9303333333333335,0.9437293044088437,0.3077256944444444,"hidden1:0,hidden2:1",ensemble_upper_bound,0.2091502685546875,0.935,-0.0040000000000000036,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.931,0.9303333333333335,0.9802741963348827,0.3637152777777778,"hidden1:0,hidden2:2",weight_average,1.6894372253417969,0.365,0.5660000000000001,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.931,0.9303333333333335,0.9802741963348827,0.3637152777777778,"hidden1:0,hidden2:2",greedy_soup,0.21252482795715333,0.931,0.0,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.931,0.9303333333333335,0.9802741963348827,0.3637152777777778,"hidden1:0,hidden2:2",git_rebasin_pairwise,0.758740837097168,0.813,0.1180000000000001,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.931,0.9303333333333335,0.9802741963348827,0.3637152777777778,"hidden1:0,hidden2:2",c2m3_cycle_consistent,0.726610107421875,0.799,0.132,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.931,0.9303333333333335,0.9802741963348827,0.3637152777777778,"hidden1:0,hidden2:2",twisted_rank_lift_2,0.26899579429626463,0.925,0.006000000000000005,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.931,0.9303333333333335,0.9802741963348827,0.3637152777777778,"hidden1:0,hidden2:2",ensemble_upper_bound,0.2091502685546875,0.935,-0.0040000000000000036,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1002_observed,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,observed,observed,0.0,hidden2,True,0.935,0.9313333333333335,0.9642030387838445,0.19791666666666669,"hidden1:0,hidden2:0",weight_average,1.7091070556640624,0.398,0.537,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_observed,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,observed,observed,0.0,hidden2,True,0.935,0.9313333333333335,0.9642030387838445,0.19791666666666669,"hidden1:0,hidden2:0",greedy_soup,0.22614009857177733,0.93,0.0050000000000000044,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1002_observed,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,observed,observed,0.0,hidden2,True,0.935,0.9313333333333335,0.9642030387838445,0.19791666666666669,"hidden1:0,hidden2:0",git_rebasin_pairwise,0.3286377410888672,0.909,0.026000000000000023,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_observed,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,observed,observed,0.0,hidden2,True,0.935,0.9313333333333335,0.9642030387838445,0.19791666666666669,"hidden1:0,hidden2:0",c2m3_cycle_consistent,0.3286377410888672,0.909,0.026000000000000023,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_observed,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,observed,observed,0.0,hidden2,True,0.935,0.9313333333333335,0.9642030387838445,0.19791666666666669,"hidden1:0,hidden2:0",twisted_rank_lift_2,0.21933634948730468,0.929,0.006000000000000005,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1002_observed,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,observed,observed,0.0,hidden2,True,0.935,0.9313333333333335,0.9642030387838445,0.19791666666666669,"hidden1:0,hidden2:0",ensemble_upper_bound,0.21018936347961426,0.935,0.0,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.9313333333333335,0.9762812094883317,0.24348958333333331,"hidden1:0,hidden2:2",weight_average,1.7091070556640624,0.398,0.537,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.9313333333333335,0.9762812094883317,0.24348958333333331,"hidden1:0,hidden2:2",greedy_soup,0.22614009857177733,0.93,0.0050000000000000044,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.9313333333333335,0.9762812094883317,0.24348958333333331,"hidden1:0,hidden2:2",git_rebasin_pairwise,0.3789795722961426,0.911,0.02400000000000002,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.9313333333333335,0.9762812094883317,0.24348958333333331,"hidden1:0,hidden2:2",c2m3_cycle_consistent,0.4169902801513672,0.881,0.05400000000000005,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.9313333333333335,0.9762812094883317,0.24348958333333331,"hidden1:0,hidden2:2",twisted_rank_lift_2,0.22486645889282225,0.935,0.0,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.9313333333333335,0.9762812094883317,0.24348958333333331,"hidden1:0,hidden2:2",ensemble_upper_bound,0.21018936347961426,0.935,0.0,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.9313333333333335,0.9842509842514764,0.3094618055555556,"hidden1:0,hidden2:0",weight_average,1.7091070556640624,0.398,0.537,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.9313333333333335,0.9842509842514764,0.3094618055555556,"hidden1:0,hidden2:0",greedy_soup,0.22614009857177733,0.93,0.0050000000000000044,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.9313333333333335,0.9842509842514764,0.3094618055555556,"hidden1:0,hidden2:0",git_rebasin_pairwise,0.5285464324951172,0.876,0.05900000000000005,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.9313333333333335,0.9842509842514764,0.3094618055555556,"hidden1:0,hidden2:0",c2m3_cycle_consistent,0.5285464324951172,0.876,0.05900000000000005,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.9313333333333335,0.9842509842514764,0.3094618055555556,"hidden1:0,hidden2:0",twisted_rank_lift_2,0.23091725730895996,0.937,-0.0020000000000000018,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.9313333333333335,0.9842509842514764,0.3094618055555556,"hidden1:0,hidden2:0",ensemble_upper_bound,0.21018936347961426,0.935,0.0,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.9313333333333335,0.9960860906568267,0.3719618055555556,"hidden1:0,hidden2:1",weight_average,1.7091070556640624,0.398,0.537,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.9313333333333335,0.9960860906568267,0.3719618055555556,"hidden1:0,hidden2:1",greedy_soup,0.22614009857177733,0.93,0.0050000000000000044,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1002_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1002,mnist,mlp2,3,128,none,1002,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.9313333333333335,0.9960860906568267,0.3719618055555556,"hidden1:0,hidden2:1",git_rebasin_pairwise,0.6810286407470703,0.855,0.08000000000000007,True,True,single model,,
