summary_type,target,feature_set,predictor,n_rows,n_fixed_settings,metric,metric_value,bootstrap_ci_low,bootstrap_ci_high,claim_boundary,mae,fixed_setting_id,n_unique_seeds
regression_beta,validation_margin_after_adding_candidate_proxy,local_quality_only,candidate_val_accuracy_gap_to_best_validation,1680,16.0,standardized_linear_beta,0.011020449037509305,0.007188225236965982,0.013057498288310928,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,local_quality_only,candidate_rank_fraction,1680,16.0,standardized_linear_beta,-5.907153455622649e-12,-1.2316053291623672e-11,-2.894662574280628e-12,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,local_quality_only,intercept,1680,16.0,standardized_linear_beta,0.008267261904761916,0.005171431393678164,0.011776511994949503,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,local_quality_only,candidate_individual_val_accuracy,1680,16.0,standardized_linear_beta,-3.7744495029468084e-11,-1.3383760940873303e-10,2.1547573968161386e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,local_quality_only,candidate_individual_val_loss,1680,16.0,standardized_linear_beta,-3.3687216210998017e-11,-1.228859595651206e-10,2.1330135823848648e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,local_quality_only,candidate_val_accuracy_gap_to_best_validation,1680,16.0,standardized_linear_beta,-0.011020449037509305,-0.013312186580232357,-0.007665421638725804,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,local_quality_only,candidate_rank_fraction,1680,16.0,standardized_linear_beta,5.907153455622649e-12,3.0601956908728364e-12,1.2688704882131027e-11,proxy_validation_target_not_test_selection,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,intercept,1680,16.0,standardized_logistic_beta,-17.734461204900132,-19.588134265597454,-14.98697179442998,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,mean_cycle_score,1680,16.0,standardized_logistic_beta,0.40967596222902336,0.03489754082573306,0.6393886909141614,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,pairwise_alignment_residual_mean,1680,16.0,standardized_logistic_beta,-0.12174707312817766,-0.39246014806423446,0.1904659809369435,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,combined_obstruction_score,1680,16.0,standardized_logistic_beta,-0.4411774772918919,-0.5954041867696745,-0.1303510764468751,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,sync_disagreement,1680,16.0,standardized_logistic_beta,-3.408536640654662,-3.7000864152956767,-1.5252237299568612,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,-0.4258015880392258,-0.9055233502238814,-0.08318541657816837,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,-0.047544777401762196,-0.2515373688793841,0.16084033237158632,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,0.1535107416725159,-0.3592459427794642,0.6372983056835448,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,barrier_greedy_soup_val_max_loss_barrier,1680,16.0,standardized_logistic_beta,0.0,0.0,0.0,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,barrier_c2m3_val_max_delta_vs_weight_average,1680,16.0,standardized_logistic_beta,0.48705873791027593,0.08489333918578759,1.0217845105621395,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,barrier_c2m3_val_max_delta_vs_git_rebasin,1680,16.0,standardized_logistic_beta,0.1392608968591221,-0.16886602835089967,0.46366844821851,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,candidate_individual_val_accuracy,1680,16.0,standardized_logistic_beta,0.026819828199141978,-0.3502954271257998,0.35618752578068513,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,candidate_individual_val_loss,1680,16.0,standardized_logistic_beta,0.07650015063394514,-0.31800729784301834,0.3821476292187837,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,candidate_val_accuracy_gap_to_best_validation,1680,16.0,standardized_logistic_beta,3.7965832820713423,3.3083388083356096,5.15736455283391,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,obstruction_plus_local_quality,candidate_rank_fraction,1680,16.0,standardized_logistic_beta,-19.625345433686583,-20.457688264900426,-17.900396588639794,coefficient_for_explaining_greedy_soup_acceptance_only,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,intercept,1680,16.0,standardized_linear_beta,-0.008267261904761906,-0.011583361960250185,-0.005138140432098775,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,mean_cycle_score,1680,16.0,standardized_linear_beta,-2.333620709865647e-12,-2.4069204255009433e-11,1.1381360909062593e-11,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,pairwise_alignment_residual_mean,1680,16.0,standardized_linear_beta,-1.9446971810666014e-11,-9.031636125284883e-11,1.95163854613831e-11,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,combined_obstruction_score,1680,16.0,standardized_linear_beta,2.2067167537720422e-11,-3.07180159916454e-11,1.1374771197647164e-10,proxy_validation_target_not_test_selection,,,
