seed,dataset,architecture,n_models,width,defect_family,inconsistency_level,level_order,n_planted_swaps,corrupted_edge,base_accuracy,base_loss,copy_accuracy_std,max_logit_disagreement,true_cycle_score,planted_cycle_score,sync_disagreement,baseline,loss,accuracy,merge_degradation,uses_planted_alignment,is_single_model,capacity_matched_to_weight_average,method_note
1201,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.385275875185561,0.07421875,c2m3_cycle_consistent,0.5493368835449218,0.867,0.0,True,True,True,"single model, synchronized pairwise maps"
1201,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.385275875185561,0.07421875,twisted_rank_lift_2,0.5493368835449218,0.867,0.0,True,False,False,branch ensemble / extra capacity
1201,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.385275875185561,0.07421875,ensemble_upper_bound,0.5493368759155274,0.867,0.0,False,False,False,ensemble of equivalent copies
1201,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.385275875185561,0.07421875,oracle_true_alignment,0.5493368606567383,0.867,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1202,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.0,0.0,weight_average,1.5997366485595703,0.508,0.36,False,True,True,"single model, no alignment observations"
1202,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.0,0.0,git_rebasin_pairwise,0.5379612693786621,0.868,0.0,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1202,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.0,0.0,c2m3_cycle_consistent,0.5379612693786621,0.868,0.0,True,True,True,"single model, synchronized pairwise maps"
1202,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.0,0.0,twisted_rank_lift_2,0.5379612693786621,0.868,0.0,True,False,False,branch ensemble / extra capacity
1202,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.0,0.0,ensemble_upper_bound,0.5379612884521484,0.868,0.0,False,False,False,ensemble of equivalent copies
1202,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.0,0.0,oracle_true_alignment,0.5379612693786621,0.868,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1202,mnist,mlp,4,32,central_mu2,low,1,2,0-1,0.868,0.5379612770080566,0.0,2.86102294921875e-06,0.0,0.1767766952966369,0.015625,weight_average,1.5997366485595703,0.508,0.36,False,True,True,"single model, no alignment observations"
