candidate_id,run_id,class_status,estimated_period,bootstrap_samples,bootstrap_detection_rate,bootstrap_same_class_rate,bootstrap_same_period_rate,bootstrap_coboundary_disagreement_rate,certification_floor,bootstrap_gate_passed,diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4213:0-1-2:86,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4213,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4213:0-1-2:87,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4213,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4214:0-1-2:88,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4214,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4214:0-1-2:89,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4214,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4215:0-1-2:90,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4215,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4215:0-1-2:91,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4215,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4216:0-1-2:92,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4216,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4216:0-1-2:93,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4216,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4217:0-1-2:94,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4217,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4217:0-1-2:95,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4217,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4218:0-1-2:96,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4218,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4218:0-1-2:97,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4218,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4219:0-1-2:98,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4219,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4219:0-1-2:99,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4219,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4220:0-1-2:100,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4220,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4220:0-1-2:101,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4220,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4221:0-1-2:102,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4221,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4221:0-1-2:103,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4221,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4222:0-1-2:104,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4222,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4222:0-1-2:105,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4222,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4223:0-1-2:106,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4223,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4223:0-1-2:107,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4223,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4224:0-1-2:108,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4224,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4224:0-1-2:109,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4224,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4225:0-1-2:110,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4225,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4225:0-1-2:111,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4225,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4226:0-1-2:112,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4226,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4226:0-1-2:113,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4226,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4227:0-1-2:114,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4227,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
