dataset,architecture,n_models,width,domain_shift,matching,method,n_rows,n_unique_seeds,mean_val_midpoint_loss_barrier,mean_val_max_loss_barrier,mean_val_accuracy_drop_barrier_t05,mean_test_max_loss_barrier,pearson_cycle_vs_val_max_loss_barrier,pearson_ci_low,pearson_ci_high,claim_status,claim_supported
fashion_mnist,mlp2,4,128,input_noise,activation,weight_average,30,30,-0.16452297568321228,0.12913167426983516,-0.0806640625,0.09677726328372956,-0.2939551659323896,-0.5440928019395465,-0.028640310278935915,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,none,activation,c2m3_synchronized,30,30,-0.006490405897299449,0.0158857682098945,-0.012174479166666667,0.015274757395188014,-0.07930444426847066,-0.39155936755789583,0.24602613553378383,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,none,activation,git_rebasin_pairwise_ref0,30,30,-0.002752147614955902,0.01864070209364096,-0.010416666666666666,0.01632301981250445,0.0694604829464564,-0.2478099632828702,0.37680720932790235,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,none,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,none,activation,monomial_shrinkage,30,30,-0.004202112555503845,0.01428901068866253,-0.012565104166666667,0.014036739369233449,0.05194100777899666,-0.2982286386533288,0.39936943983095946,descriptive_barrier_target,False
fashion_mnist,mlp2,4,128,none,activation,weight_average,30,30,-0.1629900500178337,0.1591521846751372,-0.03359375,0.12839506044983864,-0.2764648355154248,-0.5814202156252064,0.05064367584572134,descriptive_barrier_target,False
mnist,mlp2,3,128,input_noise,activation,c2m3_synchronized,30,30,-0.005915210271875064,0.0062556115289529165,-0.00625,0.003251562484850486,0.15536530960136857,-0.2041795096398592,0.4953870124965494,descriptive_barrier_target,False
mnist,mlp2,3,128,input_noise,activation,git_rebasin_pairwise_ref0,30,30,-0.00925728181997935,0.0011812347918748855,-0.0060546875,0.0,0.04171360704335031,-0.3331515651312986,0.35244659770472203,descriptive_barrier_target,False
mnist,mlp2,3,128,input_noise,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
mnist,mlp2,3,128,input_noise,activation,monomial_shrinkage,30,30,-0.00778253823518753,0.0013087397441267968,-0.0033203125,1.0664636890093486e-05,0.11111268477447798,-0.2689994593899878,0.3758245856651328,descriptive_barrier_target,False
