dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,rank_method,baseline_method,comparison,branch_count,mean_delta,std_delta,bootstrap_ci_low,bootstrap_ci_high,n_paired_seeds,wins,ties,losses,baseline_ci_lower_positive,rank_lift_capacity_matched_claim_supported,claim_status
fashion_mnist,mlp,3,128,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W128_input_noise_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0018333333333333313,0.0072306022705858975,-0.0006504166666666613,0.004466666666666648,30,11,11,8,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W128_input_noise_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.005749999999999974,0.006119147450196078,-0.007849999999999965,-0.003483333333333309,30,7,0,23,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W128_input_noise_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.001733333333333331,0.004834740183678759,0.00030000000000000024,0.0035341666666666616,30,5,24,1,True,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W128_none_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0008666666666666749,0.004786715332893835,-0.0007999999999999934,0.0026170833333333423,30,9,14,7,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W128_none_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.007000000000000003,0.006195103739634047,-0.009317083333333333,-0.004982499999999978,30,2,0,28,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W128_none_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,6.666666666667042e-05,0.003971305121470283,-0.0013833333333333328,0.0013333333333333383,30,6,18,6,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W128_none_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0005666666666666671,0.003334080376059193,-0.0005666666666666746,0.0017333333333333274,30,12,9,9,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W128_none_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.0036666666666666774,0.0035412187005404603,-0.004933333333333342,-0.002500000000000013,30,3,2,25,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W128_none_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.00011666666666666862,0.001617167240905374,-0.00045000000000000595,0.0006833333333333395,30,4,23,3,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W128_none_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0015500000000000032,0.005582222397625489,-0.00035041666666666126,0.0036004166666666606,30,10,13,7,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W128_none_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.004233333333333344,0.00382535401411861,-0.0056170833333333515,-0.0029166666666666824,30,3,1,26,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W128_none_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,4.9999999999987094e-05,0.0037263044464437224,-0.0011500000000000178,0.001483333333333318,30,4,20,6,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W128_none_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,-0.0005833333333333283,0.0030202858203788744,-0.0017000000000000014,0.0004166666666666764,30,7,13,10,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W128_none_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.0026333333333333356,0.0035304911579116085,-0.00386708333333334,-0.001399583333333326,30,6,0,24,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W128_none_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.000216666666666665,0.0008271610497955275,-0.0005499999999999949,0.0,30,0,28,2,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.009833333333333345,0.01347176698681828,0.005233333333333345,0.014718333333333335,30,18,9,3,True,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.026616666666666688,0.016120603294378075,-0.0323504166666667,-0.02091625000000001,30,0,0,30,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.0032833333333333343,0.015073202605339371,-0.008717083333333339,0.0015337500000000062,30,7,11,12,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0017000000000000051,0.008381630159934952,-0.001083749999999999,0.004600000000000004,30,14,8,8,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.022483333333333345,0.008878959372597105,-0.02571666666666667,-0.01934916666666667,30,1,0,29,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.002516666666666671,0.007333770885588033,-0.005066666666666672,-1.5833333333343816e-05,30,6,10,14,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N4_W64_input_noise_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.003033333333333347,0.014771788893916575,-0.002284583333333322,0.008017083333333347,30,16,3,11,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N4_W64_input_noise_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.022500000000000006,0.01412444689182555,-0.027452083333333332,-0.01769958333333333,30,1,0,29,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N4_W64_input_noise_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.0019499999999999962,0.01032184660036078,-0.0053170833333333395,0.0019170833333333344,30,3,19,8,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N4_W64_input_noise_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0001499999999999946,0.007814828963204384,-0.0027000000000000136,0.0027020833333333207,30,14,3,13,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N4_W64_input_noise_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.015566666666666677,0.011757413899714325,-0.01976750000000001,-0.01171583333333335,30,1,0,29,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,input_noise,monomial_weight,observed,0.0,fashion_mnist_mlp_N4_W64_input_noise_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.00044999999999999115,0.006342725945032883,-0.0026333333333333213,0.0017000000000000127,30,8,14,8,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N4_W64_none_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.007033333333333328,0.031737863097930655,-0.004650833333333344,0.017553333333333306,30,17,6,7,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N4_W64_none_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.039699999999999985,0.03824233076146073,-0.05368374999999999,-0.027082499999999995,30,0,0,30,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N4_W64_none_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.015483333333333339,0.043585327199946976,-0.03170083333333333,-0.00024916666666668024,30,5,9,16,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N4_W64_none_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0022833333333333226,0.009555358970623288,-0.0010004166666666677,0.005551249999999984,30,16,7,7,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N4_W64_none_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.018949999999999977,0.012056869554253113,-0.023150833333333298,-0.014849999999999985,30,1,0,29,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N4_W64_none_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.005566666666666656,0.01010439758593813,-0.00923499999999998,-0.002133333333333328,30,4,12,14,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N4_W64_none_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.013233333333333338,0.03283441564235174,0.0020158333333333335,0.024483750000000002,30,15,6,9,True,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N4_W64_none_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.033049999999999975,0.02619500807932424,-0.04276666666666664,-0.024365416666666646,30,0,0,30,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N4_W64_none_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.007350000000000001,0.029104493668918853,-0.0177675,0.0026170833333333246,30,7,7,16,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,4,64,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N4_W64_none_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.005483333333333329,0.00799405310574498,0.0027495833333333343,0.008400416666666667,30,17,9,4,True,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,4,64,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N4_W64_none_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.011866666666666652,0.011976941447497396,-0.016383749999999968,-0.00821666666666666,30,3,1,26,False,False,unsupported_ci_crosses_zero_or_negative
