group_name,family,method,n_runs,mean_validation_accuracy,mean_test_accuracy,mean_validation_loss,mean_test_loss,mean_naive_representation_residual,mean_invariant_pooling_residual,mean_parameter_multiplier,mean_inference_multiplier
S3,random_noncoherent_null,ensemble_upper_bound,150,0.7422,0.74426,0.9836211283371968,0.9761288767522573,1.3576450198781715,0.0,1.0,1.0
D4,trivial_coboundary,unlifted_weight_average,150,0.9287399999999999,0.92885,0.27742310615000254,0.27699912328862725,0.0,0.0,1.0,1.0
D4,trivial_coboundary,unlifted_c2m3_sync,150,0.97476,0.9736633333333333,0.10324306863126868,0.10750405430694879,0.0,0.0,1.0,1.0
D4,trivial_coboundary,naive_regular_representation_no_pooling,150,0.9490066666666667,0.9489266666666667,0.20078708436430578,0.20114462366888786,0.0,0.0,1.0,1.0
D4,trivial_coboundary,branch_regular_lift_with_invariant_pooling,150,0.9667999999999999,0.9669833333333334,0.1334345271597464,0.13271809725530867,0.0,0.0,8.0,8.0
D4,trivial_coboundary,branch_orbit_lift_with_invariant_pooling,150,0.96098,0.9603133333333334,0.15540578806311933,0.15793869625035928,0.0,0.0,8.0,8.0
D4,trivial_coboundary,random_same_branch_count_control,150,0.9338199999999999,0.9345366666666667,0.2582266879932168,0.25553464962251626,0.0,0.5,8.0,8.0
D4,trivial_coboundary,oracle_true_branch_lift,150,0.9779466666666667,0.9789033333333335,0.09118651078872121,0.08765895184694351,0.0,0.0,8.0,8.0
D4,trivial_coboundary,greedy_soup,150,0.9732933333333331,0.97569,0.10896729820683343,0.09977407060036339,0.0,0.0,1.0,1.0
D4,trivial_coboundary,ensemble_upper_bound,150,0.9830666666666665,0.9832000000000001,0.07183748605918915,0.07137490556136827,0.0,0.0,1.0,1.0
D4,planted_nonabelian_holonomy,unlifted_weight_average,150,0.6089000000000001,0.6093233333333334,1.4881876008533979,1.4867730770948715,1.414213562373095,0.0,1.0,1.0
D4,planted_nonabelian_holonomy,unlifted_c2m3_sync,150,0.6801266666666667,0.6791533333333334,1.218664452245072,1.2226520418773104,1.414213562373095,0.0,1.0,1.0
D4,planted_nonabelian_holonomy,naive_regular_representation_no_pooling,150,0.6502533333333333,0.64847,1.331933425418445,1.3384782485740558,1.414213562373095,0.0,1.0,1.0
D4,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling,150,0.9435466666666665,0.9436833333333334,0.2214628712648055,0.22100587427286322,1.414213562373095,0.0,8.0,8.0
D4,planted_nonabelian_holonomy,branch_orbit_lift_with_invariant_pooling,150,0.8699866666666666,0.8703399999999999,0.49980863853628626,0.49877370091404033,1.414213562373095,0.0,8.0,8.0
D4,planted_nonabelian_holonomy,random_same_branch_count_control,150,0.7641466666666666,0.7645066666666666,0.9004190105436504,0.8992352274159183,1.414213562373095,1.414213562373095,8.0,8.0
D4,planted_nonabelian_holonomy,oracle_true_branch_lift,150,0.9638466666666665,0.9639466666666666,0.14464814297172082,0.1442017013101433,1.414213562373095,0.0,8.0,8.0
D4,planted_nonabelian_holonomy,greedy_soup,150,0.7187666666666667,0.7187433333333333,1.0721570393575408,1.072374706732718,1.414213562373095,0.0,1.0,1.0
D4,planted_nonabelian_holonomy,ensemble_upper_bound,150,0.9693400000000001,0.9688199999999999,0.12375813297986549,0.12582307023658978,1.414213562373095,0.0,1.0,1.0
D4,random_noncoherent_null,unlifted_weight_average,150,0.6884733333333333,0.6894066666666667,1.1868336583141306,1.1835953597897237,1.414213562373095,0.0,1.0,1.0
D4,random_noncoherent_null,unlifted_c2m3_sync,150,0.7127066666666667,0.7143266666666667,1.0951530574753467,1.089385566502471,1.414213562373095,0.0,1.0,1.0
D4,random_noncoherent_null,naive_regular_representation_no_pooling,150,0.6896933333333334,0.6892533333333334,1.1827803697069852,1.1841729629830764,1.414213562373095,0.0,1.0,1.0
D4,random_noncoherent_null,branch_regular_lift_with_invariant_pooling,150,0.6999533333333333,0.70036,1.1437513084790896,1.1420504808711895,1.414213562373095,1.0,8.0,8.0
D4,random_noncoherent_null,branch_orbit_lift_with_invariant_pooling,150,0.6925733333333333,0.6954033333333333,1.171616492287426,1.1609625075296701,1.414213562373095,1.0,8.0,8.0
D4,random_noncoherent_null,random_same_branch_count_control,150,0.7097066666666666,0.7081266666666667,1.1067505326024223,1.112423381378751,1.414213562373095,1.0,8.0,8.0
D4,random_noncoherent_null,oracle_true_branch_lift,150,0.7193933333333333,0.7180466666666665,1.0696222128848554,1.0751878787384364,1.414213562373095,1.0,8.0,8.0
D4,random_noncoherent_null,greedy_soup,150,0.7236466666666667,0.7245833333333334,1.0536864097769898,1.050175409500433,1.414213562373095,0.0,1.0,1.0
D4,random_noncoherent_null,ensemble_upper_bound,150,0.7416800000000001,0.7437733333333334,0.9853729052506431,0.9777182031774309,1.414213562373095,0.0,1.0,1.0
