summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_chose_c2m3,selector_chose_monomial,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,selector_no_test_leakage,pearson_centrality_improvement_vs_monomial_gain,spearman_centrality_improvement_vs_monomial_gain,mean_monomial_centrality_improvement,mean_monomial_accuracy_delta_vs_c2m3,claim,claim_decision,claim_reason
method_summary,fixed_setting,3,32,monomial_scale,,20.0,20.0,0.82775,0.0029378429251121566,0.8137846076965334,0.02770000000000001,0.005599999999999994,-0.024700000000000007,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,monomial_scaled_greedy_soup,,20.0,20.0,0.85275,0.001353115313870766,0.6356744287490844,0.0027000000000000023,0.0306,0.00030000000000000024,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,validated_ladder_selector,,20.0,20.0,0.8286,0.0029623959009025423,0.8155037124633789,0.026850000000000006,0.006449999999999995,-0.023850000000000003,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,weight_average,,20.0,20.0,0.7156499999999999,0.010954276982554637,1.423937445831299,0.13979999999999998,-0.10649999999999997,-0.13679999999999998,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,c2m3_greedy_soup,,20.0,20.0,0.8695,0.0014894364882839357,0.5044074918746948,0.005250000000000005,0.008300000000000007,-0.001100000000000001,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,c2m3_permutation,,20.0,20.0,0.8612,0.0014700519145863357,0.6162683158874511,0.013550000000000012,0.0,-0.009400000000000009,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,ensemble_upper_bound,,20.0,20.0,0.87335,0.0008184548986062901,0.48441090488433847,0.0014000000000000013,0.012150000000000011,0.0027500000000000024,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,greedy_soup,,20.0,20.0,0.8706000000000002,0.0012760960201456555,0.491997636604309,0.0041500000000000035,0.009400000000000009,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,monomial_scale,,20.0,20.0,0.8641,0.0012159033895139783,0.6082938951492308,0.01065000000000001,0.0029000000000000024,-0.006500000000000006,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,monomial_scaled_greedy_soup,,20.0,20.0,0.8702500000000001,0.0013335252054926497,0.5131272026062011,0.004500000000000004,0.009050000000000008,-0.0003500000000000003,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
