case_id,source,noise_type,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,false_lift_rate,false_positive_central_rate,false_positive_lift_rate,false_negative_rejection_rate,period_divisible_index_obstructed_rejection_rate,mean_centrality_score,mean_phase_residual,mean_root_margin
composite_d4_k1,central_positive,unitary_near_identity,0.01,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08227626698714455,0.08205722500297705,0.08261113219472645
composite_d4_k1,central_positive,unitary_near_identity,0.03,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2485819242382846,0.24275486241873648,0.03831507112099676
composite_d4_k1,central_positive,unitary_near_identity,0.03,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2485819242382846,0.24275486241873648,0.03831507112099676
composite_d4_k1,central_positive,unitary_near_identity,0.05,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.420250544073823,0.3939944187784189,0.023706253446621313
composite_d4_k1,central_positive,unitary_near_identity,0.05,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.420250544073823,0.3939944187784189,0.023706253446621313
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.0,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.0,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,1e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5137613747545926e-07,3.513761374754424e-07,0.28462937087226736
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,1e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5137613747545926e-07,3.513761374754424e-07,0.28462937087226736
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,3e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0541284206609082e-06,1.0541284206604523e-06,0.2846287595246443
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,3e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0541284206609082e-06,1.0541284206604523e-06,0.2846287595246443
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,1e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.513761485804415e-06,3.5137614857875307e-06,0.2846266198182802
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,1e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.513761485804415e-06,3.5137614857875307e-06,0.2846266198182802
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,3e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0541285181140438e-05,1.0541285180684556e-05,0.2846205064599528
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,3e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0541285181140438e-05,1.0541285180684556e-05,0.2846205064599528
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,1e-05,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.513762572068573e-05,3.5137625703801176e-05,0.2845991107374532
