dataset,task_preset,architecture,width,n_tasks,method,method_role,status,n_rows,n_ok_rows,n_unique_seeds,mean_average_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_worst_task_accuracy,mean_validation_selected_accuracy,mean_interference_score,mean_base_epochs,mean_finetune_epochs,mean_delta_vs_greedy_soup,delta_vs_greedy_ci_low,delta_vs_greedy_ci_high,mean_delta_vs_task_arithmetic,delta_vs_task_arithmetic_ci_low,delta_vs_task_arithmetic_ci_high,mean_delta_vs_ties,delta_vs_ties_ci_low,delta_vs_ties_ci_high,mean_delta_vs_dare,delta_vs_dare_ci_low,delta_vs_dare_ci_high,mean_sign_conflict_fraction,mean_triangle_cycle_score,best_single_model_method_by_mean_accuracy,claim_decision,claim_boundary
mnist,mnist_digit_subsets,mlp2,64,3,individual_finetuned_digits_0_4,individual_task_model,ok,20,20,20,0.5882777777777777,0.581861111111111,0.5947791666666665,0.179,0.6046847139852131,0.3383888888888889,3.0,2.0,-0.22813888888888884,-0.2345,-0.22172083333333334,-0.27205555555555555,-0.27913958333333333,-0.26511111111111113,-0.23625000000000002,-0.24316736111111112,-0.23033263888888883,-0.2673055555555555,-0.27375208333333334,-0.26055486111111104,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,individual_finetuned_digits_5_9,individual_task_model,ok,20,20,20,0.495,0.48825,0.5017236111111111,0.17933333333333332,0.5025046984286825,0.43166666666666675,3.0,2.0,-0.32141666666666663,-0.32897361111111106,-0.31322222222222224,-0.3653333333333334,-0.3705840277777778,-0.3596381944444444,-0.32952777777777775,-0.3369736111111112,-0.32205555555555554,-0.3605833333333333,-0.3665277777777778,-0.35472222222222227,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,individual_finetuned_even_digits,individual_task_model,ok,20,20,20,0.6890277777777778,0.6841381944444445,0.6937229166666667,0.46075,0.7000882553130517,0.23763888888888887,3.0,2.0,-0.1273888888888889,-0.13200069444444443,-0.1225548611111111,-0.17130555555555554,-0.1747784722222222,-0.16769375,-0.1355,-0.14125000000000001,-0.1297777777777778,-0.1665555555555555,-0.17055625000000002,-0.16216597222222218,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,20,20,20,0.9266666666666665,0.9238333333333333,0.9293055555555556,0.8951666666666667,,0.0,3.0,2.0,0.11025000000000003,0.10716666666666672,0.11352777777777778,0.06633333333333333,0.06438819444444442,0.06825069444444444,0.10213888888888886,0.09769375,0.10672291666666668,0.07108333333333333,0.06822222222222225,0.07397222222222224,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,slerp_sequential,same_base_interpolation,ok,20,20,20,0.8166388888888889,0.8127777777777776,0.82005625,0.66025,0.8315891551631222,0.1100277777777778,3.0,2.0,0.0002222222222222292,8.333333333332416e-05,0.0003888888888889108,-0.043694444444444445,-0.04674999999999999,-0.04061111111111114,-0.007888888888888907,-0.010888888888888915,-0.004832638888888884,-0.038944444444444455,-0.04166736111111114,-0.03627708333333334,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,task_arithmetic,same_base_task_vector,ok,20,20,20,0.8603333333333334,0.8569715277777777,0.8637222222222223,0.7993333333333335,0.8774190597467436,0.06633333333333333,3.0,2.0,0.04391666666666667,0.04066666666666672,0.04736180555555556,0.0,0.0,0.0,0.03580555555555554,0.03144374999999995,0.04013888888888886,0.004749999999999993,0.002749999999999986,0.006722222222222208,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,ties_merging,same_base_task_vector,ok,20,20,20,0.8245277777777777,0.8197770833333333,0.8295833333333332,0.6825833333333333,0.8377588092573627,0.10213888888888886,3.0,2.0,0.008111111111111135,0.00513888888888892,0.011138888888888915,-0.03580555555555554,-0.039972916666666684,-0.03144374999999998,0.0,0.0,0.0,-0.031055555555555548,-0.034500694444444424,-0.027611111111111114,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,weight_average,same_base_weight_average,ok,20,20,20,0.8164166666666667,0.8125277777777777,0.8198611111111112,0.6596666666666666,0.8315045129292653,0.11025000000000003,3.0,2.0,0.0,0.0,0.0,-0.04391666666666667,-0.047027777777777786,-0.040805555555555595,-0.008111111111111135,-0.011084027777777807,-0.0051111111111111045,-0.03916666666666668,-0.041889583333333355,-0.03652777777777781,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,128,3,base_model,common_base_reference,ok,20,20,20,0.8802777777777775,0.8773055555555557,0.88325,0.8446666666666667,0.8969691870499247,0.05691666666666669,3.0,2.0,0.04574999999999997,0.04233333333333329,0.0491951388888889,-0.0036388888888888916,-0.0056673611111111195,-0.001527777777777788,0.03024999999999997,0.02502708333333328,0.03547222222222221,0.003250000000000003,0.0002500000000000052,0.006306249999999993,0.7126460132521958,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,128,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
